|name                  |ra         |dec        |time               |stop_time          |obsid    |exposure    |public_date|_Search_Offset                 |
|IGR J16185-5928       |16 18 35.14|-59 24 00.4|2008-02-09 16:04:49|2008-02-11 00:30:24|702123010| 76607.60000| 2009-02-26|  3.286 (244.651957,-59.454801)|
|1622-297              |16 26 06.77|-29 51 46.4|2011-09-24 21:18:36|2011-09-25 04:19:19|706044010|  8778.10000| 2012-11-05|  0.367 (246.525145,-29.857395)|
|SWIFT J1628.1+5145    |16 27 48.98|+51 50 19.7|2006-04-15 18:49:28|2006-04-16 09:22:19|701016010| 23589.00000| 2007-10-21|  4.460 (247.016911,51.7754172)|
|A2199 OFFSET4         |16 31 03.89|+39 22 11.3|2011-08-18 04:36:49|2011-08-18 14:11:20|806150010| 18711.60000| 2011-04-01|  6.097 (247.636078,39.3842185)|
|ESO 137-G034          |16 35 03.94|-58 07 47.3|2008-10-05 11:06:13|2008-10-07 16:11:24|403075010| 92052.50000| 2009-11-13|  3.272 (248.808344,-58.079964)|
|3C345                 |16 42 59.69|+39 47 40.2|2012-09-11 06:28:26|2012-09-11 11:27:13|707043010| 12700.80000| 2013-10-17|  0.961 (250.745051,39.8102748)|
|MRK 501               |16 53 44.04|+39 49 41.2|2009-03-23 18:39:39|2009-03-25 07:59:19|703046010| 72334.20000| 2010-05-13|  4.368 (253.467585,39.7601783)|
|MRK 501               |16 53 36.00|+39 42 32.0|2006-07-18 18:53:39|2006-07-19 17:27:18|701027010| 42427.10000| 2007-11-04|  4.381 (253.467585,39.7601783)|
|NGC 6300              |17 17 01.18|-62 49 06.6|2007-10-17 12:20:19|2007-10-19 09:00:14|702049010| 82577.00000| 2008-10-31|  0.223 (259.248121,-62.820563)|
|NEP                   |18 00 08.26|+66 34 26.4|2015-01-30 22:31:53|2015-02-03 06:00:14|109016010|154011.40000| 2014-04-01|  2.467 (270.030283,66.6150908)|
|NGC6552               |18 00 18.17|+66 36 13.0|2013-11-14 20:09:35|2013-11-17 00:18:16|708014010|105776.70000| 2014-12-28|  1.283 (270.030283,66.6150908)|
|NEP #1                |18 00 11.81|+66 33 34.9|2009-11-15 05:30:04|2009-11-16 04:41:19|504070010| 56336.70000| 2009-04-01|  3.354 (270.030283,66.6150908)|
|NEP #3                |18 00 11.59|+66 34 10.6|2009-12-15 22:22:13|2009-12-17 01:20:18|504074010| 50176.90000| 2009-04-01|  2.763 (270.030283,66.6150908)|
|NEP #4                |18 00 10.78|+66 34 43.7|2009-12-28 09:57:09|2009-12-29 10:59:24|504076010| 49849.10000| 2009-04-01|  2.205 (270.030283,66.6150908)|
|NEP #2                |18 00 12.50|+66 33 55.8|2009-12-07 12:02:11|2009-12-08 15:23:14|504072010| 48697.70000| 2009-04-01|  3.021 (270.030283,66.6150908)|
|NEP                   |18 00 08.57|+66 34 26.4|2015-02-03 06:00:15|2015-02-03 17:25:14|109016020| 21676.40000| 2014-04-01|  2.469 (270.030283,66.6150908)|
|H1821+643             |18 21 52.22|+64 21 33.1|2013-04-16 09:52:51|2013-04-20 13:00:23|708037010|246583.90000| 2013-04-01|  1.092 (275.488441,64.3433924)|
|H1821+643             |18 21 52.06|+64 21 34.2|2013-04-20 13:00:24|2013-04-22 16:37:16|708037020|128248.50000| 2013-04-01|  1.117 (275.488441,64.3433924)|
|E1821+643             |18 22 04.97|+64 19 50.2|2012-11-08 18:53:08|2012-11-10 19:43:21|707016010|100413.20000| 2013-12-05|  1.137 (275.488441,64.3433924)|
|QSO 1828+487          |18 29 37.01|+48 44 16.4|2014-11-22 06:34:56|2014-11-22 16:15:09|709026010| 14176.60000| 2016-02-24|  0.995 (277.382419,48.7461722)|
|3C382                 |18 35 00.38|+32 42 31.3|2007-04-27 23:05:29|2007-04-30 19:29:09|702125010|130580.00000| 2008-11-07|  0.974 (278.764124,32.6963467)|
|IRAS18325-5926        |18 36 53.83|-59 27 23.4|2007-10-26 09:09:19|2007-10-28 10:00:24|702118010| 78434.80000| 2008-11-07|   3.300 (279.24264,-59.402291)|
|ESO 103- G 035        |18 38 22.58|-65 25 25.7|2008-10-22 15:11:45|2008-10-25 04:07:19|703031010| 91442.00000| 2009-11-13|  0.325 (279.584683,-65.427552)|
|3C 390.3              |18 41 49.34|+79 46 47.3|2013-05-24 07:12:24|2013-05-26 14:29:19|708034010|100366.80000| 2014-06-08|  1.007 (280.537518,79.7714274)|
|3C 390.3              |18 42 30.96|+79 46 07.0|2006-12-14 03:25:28|2006-12-16 03:19:24|701060010|    24.00000| 2008-08-24|  0.989 (280.537518,79.7714274)|
|FAIRALL 51            |18 44 53.71|-62 21 24.1|2013-09-04 01:45:58|2013-09-04 12:35:21|708046010| 31557.60000| 2014-10-26|  0.481 (281.224968,-62.364693)|
|FAIRALL 51            |18 44 54.26|-62 21 33.1|2013-09-05 19:22:39|2013-09-06 04:11:10|708046020| 30958.00000| 2014-10-26|  0.331 (281.224968,-62.364693)|
|FAIRALL 51            |18 44 54.84|-62 21 41.4|2013-09-13 11:44:48|2013-09-14 07:33:10|708046040| 30192.60000| 2014-11-29|  0.215 (281.224968,-62.364693)|
|FAIRALL 51            |18 44 53.54|-62 21 30.2|2013-09-07 19:35:10|2013-09-08 10:17:17|708046030| 23930.10000| 2014-11-29|  0.381 (281.224968,-62.364693)|
|ZW229-15              |19 05 19.99|+42 28 14.2|2011-06-03 00:18:29|2011-06-07 15:00:15|706035010|167083.80000| 2012-07-19|  1.238 (286.358083,42.4610344)|
|IGR J19378-0617       |19 37 36.55|-06 17 12.8|2010-10-16 01:41:34|2010-10-18 07:14:19|705055010| 77801.40000| 2011-11-02|  4.226 (294.387614,-6.2180018)|
|NGC 6814              |19 42 41.59|-10 20 13.6|2011-11-02 16:46:51|2011-11-03 15:18:14|706032010| 42120.00000| 2012-11-17|  0.845 (295.669105,-10.323637)|
|HESS J1943+213        |19 43 57.98|+21 18 03.6|2011-11-10 15:06:12|2011-11-11 14:26:13|706007010| 38881.50000| 2012-11-25|  0.519 (295.984335,21.3063851)|
|SWIFT J1952.4+0237    |19 52 13.34|+02 34 13.8|2009-04-08 19:53:00|2009-04-10 02:35:24|704011010| 47921.10000| 2010-05-08|   3.876 (298.065828,2.5067148)|
|CYGNUS A CLUSTER      |19 59 02.62|+40 47 18.6|2008-11-15 21:43:08|2008-11-16 21:58:19|803050010| 44658.70000| 2009-12-02|  5.875 (299.868227,40.7339116)|
|CYGNUS A SUB          |19 58 53.45|+40 51 30.6|2013-11-19 07:32:59|2013-11-20 07:44:17|808016010| 42520.40000| 2014-12-04|  9.979 (299.868227,40.7339116)|
|1ES 1959+650          |19 59 51.48|+65 09 31.7|2006-05-23 01:13:23|2006-05-25 04:07:24|701075010| 98862.20000| 2007-11-04|    1.072 (299.9993,65.1485285)|
|SWIFT J2009.0-6103    |20 08 37.92|-61 02 58.2|2008-04-07 16:40:32|2008-04-08 14:25:07|703015010| 43726.80000| 2009-05-02|  3.216 (302.195379,-61.099952)|
|GAMMACYGNI_NWSHELL2   |20 18 36.48|+40 41 51.0|2011-04-14 07:15:57|2011-04-15 06:27:10|506018010| 39712.00000| 2012-05-11|  0.952 (304.661383,40.6833243)|
|MCG +04-48-002        |20 28 35.71|+25 48 07.6|2007-04-18 11:12:17|2007-04-19 09:55:19|702081010| 41298.80000| 2008-08-17|  4.967 (307.120373,25.7233823)|
|4C+74.26              |20 42 50.74|+75 06 39.6|2011-11-23 12:58:54|2011-11-25 14:43:07|706028010|101412.50000| 2012-12-08|  1.628 (310.655434,75.1340134)|
|4C+74.26              |20 42 16.03|+75 03 41.8|2007-10-28 10:21:17|2007-10-30 06:15:24|702057010| 91583.00000| 2008-11-06|  4.555 (310.655434,75.1340134)|
|MRK 509               |20 44 11.26|-10 44 24.4|2010-11-21 14:17:42|2010-11-23 19:34:20|705025010|102120.50000| 2011-12-21|  1.060 (311.040636,-10.723539)|
|MRK 509               |20 44 08.98|-10 43 13.1|2015-05-01 08:53:37|2015-05-02 16:21:21|410017010| 54272.80000| 2016-07-24|  0.272 (311.040636,-10.723539)|
|MARKARIAN 509         |20 44 10.82|-10 43 40.1|2006-11-27 03:54:07|2006-11-28 03:05:24|701093040| 33094.40000| 2007-12-22|  0.367 (311.040636,-10.723539)|
|MARKARIAN 509         |20 44 10.25|-10 43 37.6|2006-10-14 07:50:00|2006-10-15 02:03:19|701093020| 25929.80000| 2008-03-01|  0.246 (311.040636,-10.723539)|
|MARKARIAN 509         |20 44 04.66|-10 39 49.3|2006-04-25 18:47:44|2006-04-26 12:36:19|701093010| 24575.60000| 2007-10-21|  3.802 (311.040636,-10.723539)|
|MARKARIAN 509         |20 44 10.27|-10 43 38.6|2006-11-15 09:00:13|2006-11-16 00:16:21|701093030| 24446.60000| 2007-12-22|  0.264 (311.040636,-10.723539)|
|SWIFT J2052.0-5704    |20 51 54.91|-57 01 03.4|2009-04-24 15:04:25|2009-04-25 16:28:19|704010010| 45160.00000| 2010-05-23|  3.232 (313.009818,-57.068756)|
|3C 433                |21 23 46.13|+25 03 18.0|2010-11-06 13:35:31|2010-11-08 02:17:18|705050010| 62500.90000| 2011-11-25|  1.214 (320.935787,25.0743855)|
|IGR J21247+5058       |21 24 47.26|+51 02 34.1|2007-04-16 14:05:32|2007-04-18 11:04:24|702027010| 85031.90000| 2008-10-05|  4.320 (321.163983,50.9738487)|
|SWIFT J2127.4+5654    |21 28 00.24|+56 52 40.8|2007-12-09 01:32:53|2007-12-11 01:10:16|702122010| 91730.40000| 2009-06-18|  4.397 (321.939155,56.9430461)|
|PKS2126-15            |21 29 11.71|-15 38 37.3|2008-04-20 02:11:23|2008-04-22 10:10:19|703001010| 81921.40000| 2009-05-10|  0.130 (322.300761,-15.644765)|
|NGC 7130              |21 48 15.60|-34 53 46.3|2008-05-11 12:28:37|2008-05-12 13:35:24|703012010| 44493.10000| 2009-05-24|  3.400 (327.081366,-34.951248)|
|MRK 520               |22 00 42.43|+10 32 42.0|2012-11-27 19:38:51|2012-11-29 15:46:17|407014010| 79779.50000| 2013-12-18|  0.509 (330.172292,10.5522395)|
|NGC 7172              |22 02 01.49|-31 52 14.9|2008-05-25 01:34:51|2008-05-26 20:32:23|703030010| 82279.70000| 2009-06-17|  0.113 (330.507894,-31.869591)|
|BL LACERTAE           |22 02 35.18|+42 20 49.6|2006-05-27 05:31:44|2006-05-28 07:20:19|701073010| 48529.40000| 2007-10-28|  4.423 (330.680388,42.2777548)|
|BL LAC                |22 02 40.97|+42 17 38.8|2013-05-19 14:51:56|2013-05-19 20:56:23|707044010| 12742.60000| 2014-06-18|  1.071 (330.680388,42.2777548)|
|NGC 7213              |22 09 15.84|-47 09 46.4|2006-10-22 05:34:36|2006-10-24 06:37:24|701029010| 90736.00000| 2008-08-17|   0.236 (332.31755,-47.166696)|
|3C 445                |22 23 48.67|-02 05 58.2|2007-05-25 04:50:10|2007-05-28 22:00:24|702056010|139769.10000| 2008-08-24|  0.327 (335.956423,-2.1035701)|
|CTA102                |22 32 34.99|+11 44 24.4|2013-05-19 08:17:28|2013-05-19 14:43:23|707045010|  9562.60000| 2014-06-01|   0.658 (338.151714,11.730796)|
|NGC 7314              |22 35 37.32|-25 59 54.2|2007-04-25 10:21:33|2007-04-27 22:50:24|702015010|109019.80000| 2008-10-05|  3.705 (338.942507,-26.050436)|
|XMMU 2235.3-2557      |22 35 22.44|-25 57 56.5|2011-11-13 15:18:27|2011-11-16 13:23:12|806013010|101122.70000| 2012-11-26|  7.372 (338.942507,-26.050436)|
|MKN 915               |22 36 47.57|-12 32 48.5|2013-11-26 23:07:39|2013-11-28 03:10:10|708029010| 41220.00000| 2013-04-01|  0.279 (339.193721,-12.545223)|
|3C 452                |22 45 39.14|+39 44 59.3|2007-06-16 09:30:52|2007-06-17 19:54:24|702073010| 66680.00000| 2008-08-17|  4.153 (341.453007,39.6877556)|
|SWIFT J2248.8+1725    |22 48 45.67|+17 26 38.4|2014-12-06 16:39:12|2014-12-08 16:02:20|709004010| 78093.80000| 2016-03-13|  0.523 (342.184758,17.4509405)|
|IGR J22517+2218       |22 51 54.46|+22 17 13.6|2009-11-26 18:15:56|2009-11-28 00:12:24|704060010| 52726.50000| 2010-12-15|  0.456 (342.972916,22.2937405)|
|3C454.3               |22 53 58.63|+16 08 30.8|2008-11-22 09:18:32|2008-11-23 16:31:19|703006010| 46923.90000| 2008-04-01|  0.436 (343.490612,16.1482502)|
|3C454.3               |22 53 58.82|+16 08 16.4|2010-11-25 01:11:14|2010-11-26 00:20:19|705021010| 41025.20000| 2011-12-21|  0.673 (343.490612,16.1482502)|
|3C 454.3              |22 54 04.34|+16 05 17.5|2009-12-09 02:40:43|2009-12-09 23:31:24|904003010| 40477.20000| 2009-12-07|  3.936 (343.490612,16.1482502)|
|3C454.3               |22 53 58.66|+16 08 30.8|2007-12-05 04:57:55|2007-12-06 02:40:14|902002010| 39889.50000| 2007-11-27|  0.439 (343.490612,16.1482502)|
|MR 2251-178           |22 54 05.21|-17 34 53.0|2009-05-07 03:28:24|2009-05-10 11:13:14|704055010|136924.00000| 2010-05-27|  0.166 (343.524522,-17.582035)|
|NGC 7469              |23 03 08.21|+08 55 48.4|2008-06-24 16:50:17|2008-06-27 16:24:23|703028010|112112.80000| 2009-07-15|   3.835 (345.815059,8.8739169)|
|MCG-2-58-22           |23 04 44.14|-08 41 16.1|2009-12-02 22:36:33|2009-12-05 22:27:19|704032010|138968.80000| 2010-12-23|  0.204 (346.181173,-8.6857273)|
|NGC7582               |23 18 33.86|-42 24 55.1|2007-11-16 01:44:01|2007-11-16 21:30:19|702052040| 31895.50000| 2008-11-27|  3.290 (349.598445,-42.370422)|
|NGC7582               |23 18 34.70|-42 24 49.3|2007-11-09 21:49:32|2007-11-10 15:30:10|702052030| 29353.80000| 2008-11-20|  3.305 (349.598445,-42.370422)|
|NGC7582               |23 18 15.22|-42 19 19.2|2007-05-28 22:10:09|2007-05-29 17:35:19|702052020| 28769.00000| 2008-08-17|  3.295 (349.598445,-42.370422)|
|NGC7582               |23 18 11.33|-42 19 49.4|2007-05-01 19:02:59|2007-05-02 07:37:23|702052010| 23941.20000| 2008-08-17|  3.306 (349.598445,-42.370422)|
|NGC 7603              |23 18 55.20|+00 15 20.5|2012-06-02 12:11:33|2012-06-04 15:50:13|707003010|101256.70000| 2013-06-21|   0.797 (349.736066,0.2438751)|
|UGC 12741             |23 41 46.78|+30 38 29.0|2009-06-07 12:31:37|2009-06-08 16:06:24|704014010| 47945.80000| 2010-06-20|  4.037 (355.481134,30.5817731)|
|SPT-CLJ2344-4243      |23 44 43.58|-42 43 00.8|2013-11-09 00:15:15|2013-11-11 09:51:21|708012010| 86204.30000| 2013-04-01|  0.202 (356.182952,-42.720117)|
|SWIFTJ2344.6-424322   |23 44 25.42|-42 45 44.6|2010-11-05 06:45:02|2010-11-06 13:22:10|705049010| 61741.60000| 2011-11-20|  4.238 (356.182952,-42.720117)|
|PKS 2356-61           |23 59 03.86|-60 54 28.8|2006-12-06 17:08:16|2006-12-09 05:11:24|801016010|100837.20000| 2007-12-22|   0.509 (359.767938,-60.91644)|
|MCG +04-48-002        |20 28 35.71|+25 48 07.6|2007-04-18 11:12:17|2007-04-19 09:55:19|702081010| 41298.80000| 2008-08-17|   4.126 (307.146087,25.733383)|
|ARP318                |02 09 31.01|-10 09 31.0|2014-08-04 21:20:14|2014-08-06 19:48:23|709009010| 80219.50000| 2015-09-02|   2.932 (32.336859,-10.133086)|
