SwiftName,name,ra,dec,time,stop_time,obsid,exposure,public_date,_Search_Offset
SWIFTJ0433.0+0521,3C120                 ,04 33 11.90,+05 21 04.0,2012-02-14 17:57:38,2012-02-17 21:10:04,706042020,118068.9, 2011-04-01,"   0.280 (68.2962182,5.3543204)"
SWIFTJ0433.0+0521,3C120                 ,04 33 11.62,+05 21 19.8,2006-02-09 03:39:55,2006-02-10 05:50:23,700001010,41932.1, 2007-05-27,"   0.148 (68.2962182,5.3543204)"
SWIFTJ0433.0+0521,3C120                 ,04 33 11.52,+05 21 20.2,2006-02-16 13:26:43,2006-02-17 14:06:17,700001020,41554.5, 2007-05-27,"   0.131 (68.2962182,5.3543204)"
SWIFTJ0433.0+0521,3C120                 ,04 33 11.83,+05 21 12.6,2006-02-23 11:02:13,2006-02-24 20:59:51,700001030,40907.3, 2007-05-27,"   0.191 (68.2962182,5.3543204)"
SWIFTJ0433.0+0521,3C120                 ,04 33 11.50,+05 21 14.8,2006-03-02 22:41:47,2006-03-03 20:39:19,700001040,40905.1, 2007-05-27,"   0.101 (68.2962182,5.3543204)"
SWIFTJ0443.9+2856,UGC 03142             ,04 43 47.26,+28 58 05.2,2013-02-12 16:36:59,2013-02-13 23:52:16,707032010,51284.7, 2014-03-05,"  0.250 (70.9450084,28.9719194)"
SWIFTJ0444.1+2813,SWIFT J0444.1+2813    ,04 44 06.96,+28 16 45.5,2008-09-10 17:13:03,2008-09-12 15:08:12,703021010,81298.6, 2009-11-13,"  3.773 (71.0375969,28.2168791)"
SWIFTJ0452.2+4933,LEDA 168563           ,04 52 03.79,+49 33 02.2,2013-09-01 21:03:24,2013-09-04 01:25:21,708017010,100011.0, 2013-04-01,"   0.329 (73.019859,49.5457929)"
SWIFTJ0453.4+0404,IRAS 04507+0358       ,04 53 27.24,+04 07 23.9,2009-09-01 00:32:53,2009-09-04 03:15:20,704058010,109052.4, 2010-10-07,"   3.719 (73.3572496,4.0616296)"
SWIFTJ0505.8-2351,SWIFT J0505.7-2348    ,05 05 42.84,-23 54 19.8,2006-04-01 22:12:36,2006-04-04 02:55:14,701014010,78554.4, 2007-12-05,"  3.165 (76.4405341,-23.853913)"
SWIFTJ0510.7+1629,IRAS 05078+1626       ,05 10 45.86,+16 29 31.9,2013-02-28 15:07:27,2013-03-01 14:40:15,707029010,46016.7, 2014-04-02,"  0.444 (77.6897199,16.4994853)"
SWIFTJ0516.2-0009,ARK 120               ,05 16 10.54,-00 12 23.0,2007-04-01 18:07:26,2007-04-03 21:43:25,702014010,100863.5, 2008-10-05,"  3.405 (79.0475231,-0.1497602)"
SWIFTJ0516.4-1034,MCG-02-14-009         ,05 16 15.77,-10 30 38.2,2008-08-28 22:35:03,2008-09-01 00:44:24,703060010,142152.2, 2009-09-26,"  3.335 (79.0883956,-10.561507)"
SWIFTJ0501.9-3239,SWIFT J0501.9-3239    ,05 19 29.83,-32 42 14.8,2008-04-11 15:48:08,2008-04-12 21:05:30,703014010,41298.5, 2009-05-02,"  3.053 (79.8992349,-32.657752)"
SWIFTJ0521.0-2522,F05189-2524           ,05 20 57.19,-25 24 42.1,2006-04-10 16:16:56,2006-04-12 15:31:21,701097010,78155.5, 2007-10-28,"  3.097 (80.2558208,-25.362564)"
SWIFTJ0530.8+1333,PKS 0528+134          ,05 30 55.37,+13 35 25.8,2008-09-27 02:38:12,2008-10-02 16:12:24,703048010,203457.4, 2009-11-13,"   3.518 (82.7350444,13.532022)"
SWIFTJ0530.8+1333,0528+134              ,05 30 55.75,+13 32 27.6,2011-09-28 16:19:32,2011-09-29 00:17:12,706043010,14789.2, 2012-10-25,"   0.562 (82.7350444,13.532022)"
SWIFTJ0544.4-4328,SWIFT J0544.4-4328    ,05 44 02.38,-43 25 08.4,2015-04-28 22:12:18,2015-05-01 08:37:16,709005010,84362.0, 2016-05-19,"  0.518 (86.0003568,-43.424133)"
SWIFTJ0550.7-3212A,PKS 0548-322          ,05 50 40.97,-32 16 26.0,2012-04-06 14:39:12,2012-04-09 09:20:22,707040010,102656.7, 2013-05-03,"  0.183 (87.6690369,-32.271198)"
SWIFTJ0552.2-0727,NGC 2110              ,05 52 10.97,-07 27 31.0,2012-08-31 02:31:38,2012-09-02 12:59:22,707034010,103259.5, 2014-01-10,"   0.174 (88.0474074,-7.456243)"
SWIFTJ0552.2-0727,NGC 2110              ,05 52 10.66,-07 27 28.8,2005-09-16 09:06:40,2005-09-18 19:56:24,100024010,101748.7, 2007-05-27,"   0.208 (88.0474074,-7.456243)"
SWIFTJ0552.2-0727,NGC2110               ,05 52 11.74,-07 27 11.9,2015-03-20 19:10:09,2015-03-22 07:18:23,709011010,45625.7, 2016-06-19,"   0.198 (88.0474074,-7.456243)"
