cntr_01,dist_x,pang_x,ra_01,dec_01,reqkey,tn,object,ra,dec,irac8,irac8u,iras12,iras12u,irs16,irs16u,irs22,irs22u,mips24,mips24u,iras25,iras25u,mips24_irac8,mips24_irs16,irs16_irac8,iras25_iras12,ra_sl,dec_sl,pa_sl,ra_ll,dec_ll,pa_ll,date_obs,campname,bandpass,oflag,ratio_sl2_sl1,ratio_sl1_ll2,ratio_ll2_ll1,ra_rqst,dec_rqst,ra_del,dec_del,width_sl2,width_sl1,width_ll2,width_ll1,xtable,enhid,campid,obsrvr,progid,wave_min,wave_max
193,0.283739,40.870787,6.8296218200E+01,5.3543204000E+00,18505216,1,3C120,68.29627,5.35438,1.283E-01,2.072E-03,2.232E-01,4.106E-03,3.752E-01,6.601E-03,5.500E-01,9.667E-03,5.491E-01,1.054E-02,5.615E-01,1.028E-02,4.2798,1.4635,2.9244,2.5157,68.29627,5.35438,169.00102,68.29618,5.35441,85.26101,2007-10-06 12:02:24,IRSX009800,IRS Merged 5.217-37.86um,15,0.874,0.845,0.949,68.29625,5.35433,0.00002,0.00005,2.54,2.79,6.24,8.65,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX009800/r18505216/enhanced/SPITZER_S5_18505216_01_merge.tbl"">Table spectrum</a><br />",9409,1397,"Gorjian, Varoujan",30572,5.21725,37.86356
194,null,null,6.8363277100E+01,-5.8726075000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
195,null,null,6.9092894200E+01,-1.0376089000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
196,null,null,6.9367318900E+01,-4.7191514000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
197,0.048280,98.576570,6.9559116500E+01,-1.0795848000E+01,26498560,1,MCG -02-12-050,69.55913,-10.79585,2.716E-02,9.233E-04,3.921E-02,1.042E-03,6.158E-02,2.084E-03,9.026E-02,3.227E-03,9.179E-02,3.067E-03,9.476E-02,3.180E-03,3.3796,1.4906,2.2673,2.4167,69.55913,-10.79585,-173.95689,69.55923,-10.79594,102.30308,2008-11-07 21:59:31,IRSX010700,IRS Merged 5.217-37.86um,15,0.830,0.842,0.947,69.55912,-10.79592,0.00001,0.00006,2.45,2.91,6.89,8.74,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX010700/r26498560/enhanced/SPITZER_S5_26498560_01_merge.tbl"">Table spectrum</a><br />",15270,1438,"Weaver, Kimberly",50588,5.21725,37.86356
198,null,null,6.9996002600E+01,-5.9681590000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
199,null,null,7.0198776400E+01,2.7663025300E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
200,null,null,7.0343888000E+01,-2.7138695000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
201,null,null,7.0475297600E+01,-8.4427681000E+00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
202,null,null,7.0945008400E+01,2.8971919400E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
203,null,null,7.1037596900E+01,2.8216879100E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
204,0.542404,148.891335,7.1157121700E+01,-2.8165101000E+01,26415872,1,PKS0442-28-1,71.15721,-28.16523,9.032E-03,2.666E-04,1.210E-02,3.413E-04,1.763E-02,7.987E-04,2.454E-02,1.288E-03,2.447E-02,1.175E-03,2.455E-02,1.230E-03,2.7093,1.3880,1.9519,2.0289,71.15721,-28.16523,-157.83653,71.15730,-28.16517,118.42344,2008-11-18 05:02:30,IRSX010700,IRS Merged 5.217-37.86um,15,0.966,0.943,0.906,71.15697,-28.16517,0.00021,-0.00006,2.42,2.76,6.38,8.26,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX010700/r26415872/enhanced/SPITZER_S5_26415872_01_merge.tbl"">Table spectrum</a><br />",15201,1438,"Tadhunter, Clive",50558,5.21725,37.86356
205,null,null,7.1623626400E+01,1.8460862700E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
206,null,null,7.2508206000E+01,-5.5211205000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
207,0.554702,133.723756,7.2922968400E+01,-3.8093435000E+00,26487296,1,MCG -01-13-025,72.92308,-3.80945,2.047E-02,8.350E-04,3.121E-02,9.519E-04,4.430E-02,1.991E-03,5.162E-02,2.941E-03,4.823E-02,2.645E-03,5.051E-02,2.839E-03,2.3561,1.0887,2.1641,1.6184,72.92308,-3.80945,-175.57024,72.92309,-3.80934,100.68976,2008-11-12 11:30:50,IRSX010700,IRS Merged 5.217-37.86um,15,0.965,0.900,1.054,72.92296,-3.80936,0.00012,-0.00009,2.56,2.82,6.55,8.48,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX010700/r26487296/enhanced/SPITZER_S5_26487296_01_merge.tbl"">Table spectrum</a><br />",15239,1438,"Weaver, Kimberly",50588,5.21725,37.86356
208,null,null,7.2933404100E+01,-5.8183432000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
209,null,null,7.3019859000E+01,4.9545792900E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
210,0.255155,97.784476,7.3357249600E+01,4.0616296000E+00,26482176,1,CGCG 420-015,73.35732,4.06162,1.546E-01,2.351E-03,2.501E-01,4.586E-03,4.071E-01,7.256E-03,5.348E-01,9.734E-03,5.247E-01,1.031E-02,5.367E-01,1.013E-02,3.3939,1.2889,2.6332,2.1459,73.35732,4.06162,167.48108,73.35727,4.06150,83.74109,2008-10-06 22:48:32,IRSX010600,IRS Merged 5.217-37.86um,15,0.917,0.887,0.985,73.35729,4.06158,0.00003,0.00004,2.28,2.79,5.88,8.74,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX010600/r26482176/enhanced/SPITZER_S5_26482176_01_merge.tbl"">Table spectrum</a><br />",15227,1435,"Weaver, Kimberly",50588,5.21725,37.86356
211,null,null,7.3678736600E+01,-4.3239650000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
212,null,null,7.3995459100E+01,-7.5541180000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
213,null,null,7.4983690900E+01,2.7100594800E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
214,null,null,7.4986719700E+01,3.5048438000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
215,null,null,7.5537701100E+01,3.5305335000E+00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
216,null,null,7.5742616700E+01,2.2997716100E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
217,null,null,7.6142796300E+01,-7.3824242000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
218,null,null,7.6351460600E+01,-6.7576500000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
219,0.316753,94.563130,7.6440534100E+01,-2.3853913000E+01,26490368,1,LEDA 178130,76.44063,-23.85392,3.229E-02,1.143E-03,5.370E-02,1.386E-03,9.354E-02,2.492E-03,1.194E-01,3.631E-03,1.170E-01,3.405E-03,1.197E-01,3.529E-03,3.6234,1.2508,2.8969,2.2291,76.44063,-23.85392,173.11731,76.44058,-23.85389,89.37729,2008-10-17 12:29:27,IRSX010600,IRS Merged 5.217-37.86um,15,0.870,0.868,0.947,76.44054,-23.85389,0.00008,-0.00003,2.56,2.80,5.96,8.23,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX010600/r26490368/enhanced/SPITZER_S5_26490368_01_merge.tbl"">Table spectrum</a><br />",15244,1435,"Weaver, Kimberly",50588,5.21725,37.86356
220,null,null,7.6984035700E+01,6.7623431000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
221,0.402294,150.023637,7.7082111500E+01,1.7363346800E+01,20322048,1,CGCG 468-002,77.08217,17.36325,6.257E-02,9.926E-04,9.435E-02,1.764E-03,1.680E-01,3.106E-03,3.001E-01,5.410E-03,3.152E-01,6.106E-03,3.314E-01,6.122E-03,5.0376,1.8762,2.6850,3.5125,77.08217,17.36325,173.05919,77.08230,17.36320,89.31921,2006-10-24 07:57:37,IRSX007500,IRS Merged 5.217-37.86um,15,0.694,0.832,0.889,77.08213,17.36328,0.00005,-0.00003,2.74,2.96,7.17,8.48,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX007500/r20322048/enhanced/SPITZER_S5_20322048_01_merge.tbl"">Table spectrum</a><br />",10489,1070,"Armus, Lee",30323,5.21725,37.86356
222,null,null,7.7689719900E+01,1.6499485300E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
223,null,null,7.7990848300E+01,-1.8493895000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
224,null,null,7.8318430500E+01,6.6463967400E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
225,null,null,7.8832309500E+01,1.8914381200E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
226,0.504688,77.559810,7.9047523100E+01,-1.4976020000E-01,18941440,1,Ark 120,79.04766,-0.14973,1.670E-01,2.484E-03,2.192E-01,4.062E-03,2.775E-01,5.123E-03,3.173E-01,6.195E-03,3.041E-01,6.313E-03,3.141E-01,6.298E-03,1.8210,1.0959,1.6617,1.4329,79.04766,-0.14973,169.34470,79.04750,-0.14971,85.60467,2007-10-05 07:09:36,IRSX009800,IRS Merged 5.217-37.86um,15,0.960,0.887,1.019,79.04758,-0.14983,0.00008,0.00010,2.56,2.79,5.80,8.68,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX009800/r18941440/enhanced/SPITZER_S5_18941440_01_merge.tbl"">Table spectrum</a><br />",10042,1397,"Weaver, Kimberly",30745,5.21725,37.86356
227,null,null,7.9094686500E+01,1.9453148900E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
228,null,null,7.9088395600E+01,-1.0561507000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
229,null,null,7.9899234900E+01,-3.2657752000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
230,0.148832,-84.447788,7.9957179000E+01,-4.5778844000E+01,4673792,1,FRII-PICA,79.95712,-45.77884,3.030E-02,1.104E-03,5.883E-02,1.351E-03,1.016E-01,1.949E-03,1.321E-01,2.492E-03,1.269E-01,2.550E-03,1.282E-01,2.499E-03,4.1881,1.2490,3.3531,2.1792,79.95712,-45.77884,3.81679,79.95721,-45.77885,-79.92493,2004-03-26 14:50:29,IRSX002900,IRS Merged 5.217-37.86um,15,0.972,0.819,1.000,79.95704,-45.77903,0.00005,0.00018,2.55,2.76,6.30,8.51,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX002900/r4673792/enhanced/SPITZER_S5_4673792_01_merge.tbl"">Table spectrum</a><br />",717,717,"Rieke, George",82,5.21725,37.86356
231,0.201488,52.592380,8.0255820800E+01,-2.5362564000E+01,32513792,1,IRAS05189-2524,80.25587,-25.36253,3.517E-01,4.265E-03,5.644E-01,9.778E-03,1.127E+00,1.843E-02,2.495E+00,4.044E-02,2.761E+00,5.009E-02,2.890E+00,4.957E-02,7.8504,2.4499,3.2044,5.1205,80.25587,-25.36253,-13.04299,80.25581,-25.36256,-96.78298,2009-04-15 01:41:09,IRSX011100,IRS Merged 5.217-37.86um,15,0.734,0.893,0.825,80.25588,-25.36264,0.00000,0.00011,2.42,2.82,6.64,8.48,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX011100/r32513792/enhanced/SPITZER_S5_32513792_01_merge.tbl"">Table spectrum</a><br />",16994,1453,"Armus, Lee",1461,5.21725,37.86356
232,0.374318,-130.843074,8.0741587800E+01,-3.6458572000E+01,4674048,1,GAM-0521-365,80.74149,-36.45864,5.217E-02,1.704E-03,7.676E-02,1.907E-03,1.099E-01,2.362E-03,1.515E-01,3.103E-03,1.522E-01,3.250E-03,1.563E-01,3.224E-03,2.9174,1.3849,2.1066,2.0362,80.74149,-36.45864,-70.34546,80.74170,-36.45875,-154.08553,2004-01-08 10:25:46,IRSX002600,IRS Merged 5.217-37.86um,15,0.920,0.942,0.970,80.74160,-36.45857,-0.00009,-0.00007,2.56,2.76,6.58,8.40,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX002600/r4674048/enhanced/SPITZER_S5_4674048_01_merge.tbl"">Table spectrum</a><br />",718,708,"Rieke, George",82,5.21725,37.86356
233,0.266374,54.469453,8.1028788400E+01,-1.2169133000E+01,26497536,1,IRAS 05218-121,81.02885,-12.16909,6.652E-02,1.274E-03,1.163E-01,2.240E-03,2.047E-01,3.985E-03,2.834E-01,5.671E-03,2.791E-01,5.876E-03,2.856E-01,5.835E-03,4.1957,1.3635,3.0773,2.4557,81.02885,-12.16909,-176.48669,81.02886,-12.16887,99.77329,2008-11-07 22:14:09,IRSX010700,IRS Merged 5.217-37.86um,15,0.899,0.887,0.980,81.02887,-12.16889,-0.00003,-0.00020,2.28,2.79,6.22,8.43,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX010700/r26497536/enhanced/SPITZER_S5_26497536_01_merge.tbl"">Table spectrum</a><br />",15266,1438,"Weaver, Kimberly",50588,5.21725,37.86356
234,null,null,8.1277093100E+01,-2.3636329000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
235,null,null,8.1325458600E+01,-4.6005628000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
236,null,null,8.1613632900E+01,-2.1286577000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
237,null,null,8.2008497400E+01,-3.9579099000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
238,0.285799,-155.084449,8.2735044400E+01,1.3532022000E+01,27430912,1,pks 0528+134,82.73501,13.53195,3.733E-03,8.000E-04,5.508E-03,7.989E-04,9.626E-03,1.847E-03,1.497E-02,2.929E-03,1.645E-02,2.618E-03,1.631E-02,2.807E-03,4.4066,1.7089,2.5786,2.9611,82.73501,13.53195,176.42078,82.73505,13.53189,92.68074,2008-11-10 21:48:15,IRSX010700,IRS Merged 5.217-37.86um,15,1.360,0.758,0.905,82.73508,13.53200,-0.00007,-0.00005,null,2.81,null,null,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX010700/r27430912/enhanced/SPITZER_S5_27430912_01_merge.tbl"">Table spectrum</a><br />",15928,1438,"Wehrle, Ann",50231,5.21725,37.86356
239,null,null,8.3239638900E+01,1.3752513000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
240,null,null,8.3458990200E+01,-1.3355151000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
241,null,null,8.3883855300E+01,4.0187732300E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
242,null,null,8.4976174000E+01,-2.8665556000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
243,null,null,8.5887329000E+01,-2.7651423000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
244,null,null,8.6000356800E+01,-4.3424133000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
245,null,null,8.6094023300E+01,5.9126677600E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
246,null,null,8.6812087100E+01,5.0640370600E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
247,null,null,8.7118433200E+01,-4.7758755000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
248,null,null,8.7669036900E+01,-3.2271198000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
249,0.256796,-52.928324,8.8047407400E+01,-7.4562430000E+00,4851456,1,NGC2110,88.04735,-7.45620,1.269E-01,2.048E-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,88.04735,-7.45620,-5.36250,null,null,null,2004-03-22 21:22:11,IRSX002900,IRS Merged 5.217-14.22um,3,0.900,null,null,88.04750,-7.45625,-0.00014,0.00005,2.56,2.94,null,null,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX002900/r4851456/enhanced/SPITZER_S5_4851456_01_merge.tbl"">Table spectrum</a><br />",783,717,"Werner, Michael",86,5.21725,14.22932
250,null,null,8.8117350900E+01,5.9476937000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
251,null,null,8.8723359500E+01,4.6439381500E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
252,null,null,8.8878343600E+01,3.9813640700E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
253,0.787329,-102.409961,8.9508562300E+01,-3.8334563000E+01,18943232,1,2MASX J0558020,89.50829,-38.33461,2.794E-01,3.693E-03,3.415E-01,6.079E-03,5.288E-01,8.888E-03,5.713E-01,9.775E-03,5.511E-01,1.037E-02,5.649E-01,1.013E-02,1.9724,1.0422,1.8926,1.6542,89.50829,-38.33461,163.06139,89.50858,-38.33465,79.32137,2007-10-06 14:44:30,IRSX009800,IRS Merged 5.217-37.86um,15,0.945,0.745,1.008,89.50833,-38.33464,-0.00003,0.00003,2.45,2.74,7.64,8.23,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX009800/r18943232/enhanced/SPITZER_S5_18943232_01_merge.tbl"">Table spectrum</a><br />",10046,1397,"Weaver, Kimberly",30745,5.21725,37.86356
254,0.026173,-65.629504,8.9947460400E+01,-5.0447783000E+01,4676608,1,XSX-PKS0558-36,89.94745,-50.44778,2.857E-02,1.565E-03,4.651E-02,1.448E-03,6.041E-02,1.650E-03,8.656E-02,2.190E-03,8.762E-02,2.151E-03,8.882E-02,2.190E-03,3.0669,1.4504,2.1145,1.9097,89.94745,-50.44778,-3.14373,89.94749,-50.44763,-86.88511,2004-03-26 21:13:27,IRSX002900,IRS Merged 5.217-37.86um,15,0.893,0.920,0.937,89.94737,-50.44772,0.00005,-0.00006,2.45,2.76,5.80,8.96,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX002900/r4676608/enhanced/SPITZER_S5_4676608_01_merge.tbl"">Table spectrum</a><br />",728,717,"Rieke, George",82,5.21725,37.86356
255,null,null,9.0167136900E+01,1.0512790000E-01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
256,null,null,9.0543635800E+01,2.8472074000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
257,null,null,9.0658287200E+01,6.5371234500E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
258,null,null,9.1454004600E+01,-2.7911134000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
259,0.386168,87.329280,9.1421886300E+01,-8.6631625000E+01,18947328,1,ESO 005-G004,91.42371,-86.63162,6.200E-02,1.393E-03,8.928E-02,1.869E-03,2.218E-01,4.084E-03,3.800E-01,6.771E-03,4.159E-01,7.956E-03,4.437E-01,8.087E-03,6.7081,1.8751,3.5774,4.9698,91.42371,-86.63162,-176.26440,91.42260,-86.63183,99.99551,2006-10-25 06:09:56,IRSX007500,IRS Merged 5.217-37.86um,15,0.736,0.612,0.827,91.42346,-86.63186,0.00001,0.00025,2.96,3.31,7.22,10.38,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX007500/r18947328/enhanced/SPITZER_S5_18947328_01_merge.tbl"">Table spectrum</a><br />",10057,1070,"Weaver, Kimberly",30745,5.21725,37.86356
260,null,null,9.2527268300E+01,-6.2720088000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
261,null,null,9.2161308400E+01,-6.2787855000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
262,null,null,9.3112154800E+01,-4.6788457000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
263,0.271361,-124.136754,9.3901482000E+01,7.1037482300E+01,3753472,1,Markarian 3,93.90129,71.03744,2.165E-01,2.990E-03,5.380E-01,9.392E-03,1.519E+00,2.465E-02,2.324E+00,3.771E-02,2.318E+00,4.215E-02,2.363E+00,4.061E-02,10.7067,1.5260,7.0162,4.3922,93.90129,71.03744,14.52490,93.90171,71.03757,-69.21451,2004-03-04 06:39:26,IRSX002800,IRS Merged 5.217-37.86um,15,0.932,0.716,0.948,93.90150,71.03753,-0.00007,-0.00009,2.62,2.88,6.22,9.32,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX002800/r3753472/enhanced/SPITZER_S5_3753472_01_merge.tbl"">Table spectrum</a><br />",215,714,"Houck, James",14,5.21725,37.86356
264,null,null,9.5782076600E+01,-6.4605747000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
