Position|E(B-V)_Mean|E(B-V)_Weighted|NHI_Mean|NHI_Weighted|NH2_Mean|NH2_Weighted|NHtot_Mean|NHtot_Weighted|
J 143.96499, 61.35326| 0.032 | 0.032    | 2.97e+20 | 3.01e+20 | 3.14e+19 | 3.26e+19 | 3.29e+20 | 3.33e+20 |
J 144.02616, -65.80938| 0.257 | 0.255    | 1.55e+21 | 1.54e+21 | 1.03e+21 | 1.02e+21 | 2.57e+21 | 2.56e+21 |
J 145.51994, 23.68528| 0.028 | 0.028    | 2.63e+20 | 2.61e+20 | 2.43e+19 | 2.42e+19 | 2.87e+20 | 2.85e+20 |
J 146.42477, -14.32630| 0.056 | 0.058    | 4.80e+20 | 4.87e+20 | 9.74e+19 | 1.02e+20 | 5.78e+20 | 5.89e+20 |
J 146.91720, -30.94889| 0.106 | 0.105    | 8.82e+20 | 8.70e+20 | 3.38e+20 | 3.32e+20 | 1.22e+21 | 1.20e+21 |
J 146.93810, 7.42239| 0.026 | 0.026    | 2.11e+20 | 2.11e+20 | 1.74e+19 | 1.72e+19 | 2.28e+20 | 2.28e+20 |
J 147.44145, 73.23972| 0.028 | 0.028    | 2.10e+20 | 2.14e+20 | 1.91e+19 | 1.89e+19 | 2.29e+20 | 2.33e+20 |
J 147.97928, -6.82292| 0.072 | 0.076    | 4.68e+20 | 4.95e+20 | 1.22e+20 | 1.37e+20 | 5.90e+20 | 6.32e+20 |
J 148.08524, -62.54323| 0.299 | 0.278    | 2.14e+21 | 2.18e+21 | 1.25e+21 | 1.23e+21 | 3.39e+21 | 3.41e+21 |
J 148.88845, 69.06522| 0.080 | 0.082    | 5.12e+20 | 5.55e+20 | 1.49e+20 | 1.66e+20 | 6.61e+20 | 7.22e+20 |
J 149.87310, -22.82631| 0.055 | 0.054    | 3.97e+20 | 3.88e+20 | 7.69e+19 | 7.47e+19 | 4.74e+20 | 4.63e+20 |
J 149.98269, 13.04385| 0.030 | 0.030    | 2.96e+20 | 2.89e+20 | 2.99e+19 | 2.87e+19 | 3.26e+20 | 3.18e+20 |
J 149.92769, -31.21625| 0.079 | 0.077    | 6.33e+20 | 6.03e+20 | 1.83e+20 | 1.71e+20 | 8.16e+20 | 7.74e+20 |
J 150.45634, 28.78583| 0.019 | 0.019    | 1.77e+20 | 1.76e+20 | 1.04e+19 | 1.03e+19 | 1.87e+20 | 1.87e+20 |
J 150.49079, 55.67983| 0.009 | 0.009    | 8.62e+19 | 8.85e+19 | 1.94e+18 | 2.09e+18 | 8.81e+19 | 9.06e+19 |
J 150.84834, -37.39583| 0.107 | 0.106    | 9.97e+20 | 9.69e+20 | 3.83e+20 | 3.70e+20 | 1.38e+21 | 1.34e+21 |
J 151.48074, -23.05691| 0.059 | 0.059    | 4.55e+20 | 4.65e+20 | 9.61e+19 | 9.91e+19 | 5.52e+20 | 5.64e+20 |
J 151.80703, 65.58364| 0.064 | 0.064    | 3.81e+20 | 3.83e+20 | 8.67e+19 | 8.70e+19 | 4.67e+20 | 4.70e+20 |
J 152.20240, -9.91408| 0.061 | 0.063    | 5.14e+20 | 5.34e+20 | 1.14e+20 | 1.22e+20 | 6.28e+20 | 6.56e+20 |
J 152.45081, -42.81124| 0.151 | 0.154    | 1.01e+21 | 1.02e+21 | 5.23e+20 | 5.37e+20 | 1.53e+21 | 1.56e+21 |
J 153.33290, -35.98264| 0.111 | 0.114    | 8.40e+20 | 8.60e+20 | 3.38e+20 | 3.53e+20 | 1.18e+21 | 1.21e+21 |
J 154.32008, -4.08214| 0.040 | 0.040    | 3.81e+20 | 3.73e+20 | 5.35e+19 | 5.18e+19 | 4.35e+20 | 4.24e+20 |
J 155.26288, -2.61181| 0.045 | 0.044    | 4.06e+20 | 4.01e+20 | 6.43e+19 | 6.21e+19 | 4.70e+20 | 4.63e+20 |
J 154.99414, -2.57674| 0.044 | 0.043    | 4.00e+20 | 3.92e+20 | 6.14e+19 | 5.86e+19 | 4.61e+20 | 4.50e+20 |
J 155.41770, -3.45382| 0.045 | 0.044    | 4.14e+20 | 4.12e+20 | 6.47e+19 | 6.44e+19 | 4.78e+20 | 4.77e+20 |
J 155.87740, 19.86509| 0.023 | 0.022    | 1.98e+20 | 1.99e+20 | 1.41e+19 | 1.40e+19 | 2.12e+20 | 2.13e+20 |
J 157.44000, -38.34856| 0.075 | 0.074    | 5.95e+20 | 6.00e+20 | 1.63e+20 | 1.63e+20 | 7.58e+20 | 7.63e+20 |
J 157.84634, -42.06060| 0.115 | 0.117    | 8.69e+20 | 8.80e+20 | 3.59e+20 | 3.70e+20 | 1.23e+21 | 1.25e+21 |
J 157.82718, 50.89330| 0.014 | 0.014    | 1.21e+20 | 1.21e+20 | 4.84e+18 | 4.73e+18 | 1.26e+20 | 1.26e+20 |
J 157.97633, -14.28093| 0.069 | 0.069    | 5.48e+20 | 5.46e+20 | 1.37e+20 | 1.37e+20 | 6.84e+20 | 6.82e+20 |
J 157.96701, -34.85369| 0.091 | 0.090    | 6.75e+20 | 6.71e+20 | 2.26e+20 | 2.22e+20 | 9.01e+20 | 8.94e+20 |
J 158.18559, -28.61015| 0.060 | 0.061    | 4.22e+20 | 4.25e+20 | 9.04e+19 | 9.35e+19 | 5.12e+20 | 5.19e+20 |
J 158.59813, 73.01401| 0.102 | 0.111    | 5.16e+20 | 5.55e+20 | 1.93e+20 | 2.25e+20 | 7.09e+20 | 7.80e+20 |
J 158.31537, 52.87162| 0.018 | 0.018    | 1.32e+20 | 1.30e+20 | 7.12e+18 | 6.95e+18 | 1.39e+20 | 1.37e+20 |
J 159.68817, -49.78152| 0.437 | 0.458    | 2.22e+21 | 2.30e+21 | 1.38e+21 | 1.39e+21 | 3.60e+21 | 3.69e+21 |
J 160.09316, -46.42381| 0.178 | 0.170    | 1.21e+21 | 1.17e+21 | 6.88e+20 | 6.48e+20 | 1.90e+21 | 1.82e+21 |
J 160.25518, -17.57490| 0.047 | 0.049    | 4.07e+20 | 4.21e+20 | 6.72e+19 | 7.33e+19 | 4.74e+20 | 4.94e+20 |
J 160.53484, 0.70167| 0.050 | 0.051    | 3.86e+20 | 4.03e+20 | 6.76e+19 | 7.31e+19 | 4.54e+20 | 4.76e+20 |
J 160.86030, 11.09007| 0.027 | 0.027    | 2.47e+20 | 2.47e+20 | 2.19e+19 | 2.21e+19 | 2.69e+20 | 2.69e+20 |
J 161.03558, 70.40532| 0.042 | 0.043    | 2.57e+20 | 2.46e+20 | 3.62e+19 | 3.54e+19 | 2.93e+20 | 2.81e+20 |
J 161.20404, 38.18118| 0.015 | 0.015    | 1.24e+20 | 1.26e+20 | 5.53e+18 | 5.59e+18 | 1.30e+20 | 1.32e+20 |
J 161.21629, -60.41988| 2.628 | 2.623    | 1.27e+22 | 1.27e+22 | 1.44e+21 | 1.44e+21 | 1.42e+22 | 1.41e+22 |
J 161.67711, 25.93160| 0.033 | 0.035    | 2.50e+20 | 2.51e+20 | 2.74e+19 | 2.88e+19 | 2.77e+20 | 2.80e+20 |
J 162.09777, -25.16204| 0.078 | 0.078    | 6.19e+20 | 6.18e+20 | 1.78e+20 | 1.76e+20 | 7.97e+20 | 7.95e+20 |
J 162.37886, 22.96455| 0.028 | 0.028    | 1.79e+20 | 1.88e+20 | 1.60e+19 | 1.68e+19 | 1.95e+20 | 2.05e+20 |
J 162.81267, -17.00808| 0.048 | 0.046    | 4.30e+20 | 4.17e+20 | 7.27e+19 | 6.76e+19 | 5.03e+20 | 4.84e+20 |
J 162.90610, -17.12472| 0.046 | 0.045    | 4.15e+20 | 4.12e+20 | 6.75e+19 | 6.48e+19 | 4.83e+20 | 4.77e+20 |
J 163.13738, 10.60553| 0.028 | 0.026    | 2.49e+20 | 2.29e+20 | 2.28e+19 | 1.94e+19 | 2.72e+20 | 2.48e+20 |
J 164.93153, 65.06853| 0.027 | 0.030    | 1.90e+20 | 1.92e+20 | 1.64e+19 | 1.83e+19 | 2.07e+20 | 2.10e+20 |
J 165.25735, 11.04706| 0.023 | 0.023    | 2.07e+20 | 2.02e+20 | 1.49e+19 | 1.43e+19 | 2.22e+20 | 2.16e+20 |
J 165.91778, 37.49036| 0.016 | 0.016    | 1.75e+20 | 1.64e+20 | 8.22e+18 | 7.69e+18 | 1.83e+20 | 1.72e+20 |
J 165.90674, -23.49198| 0.069 | 0.070    | 5.51e+20 | 5.60e+20 | 1.39e+20 | 1.43e+20 | 6.90e+20 | 7.03e+20 |
J 166.11379, 38.20883| 0.018 | 0.018    | 1.91e+20 | 1.92e+20 | 1.05e+19 | 1.06e+19 | 2.01e+20 | 2.03e+20 |
J 166.49598, 58.94605| 0.008 | 0.008    | 6.18e+19 | 6.07e+19 | 1.23e+18 | 1.20e+18 | 6.30e+19 | 6.18e+19 |
J 166.40676, 58.85579| 0.008 | 0.008    | 6.18e+19 | 6.09e+19 | 1.23e+18 | 1.19e+18 | 6.30e+19 | 6.21e+19 |
J 166.69775, 72.56866| 0.048 | 0.050    | 3.35e+20 | 3.45e+20 | 5.65e+19 | 5.97e+19 | 3.91e+20 | 4.04e+20 |
J 167.69999, -28.50102| 0.060 | 0.061    | 5.17e+20 | 5.26e+20 | 1.12e+20 | 1.17e+20 | 6.29e+20 | 6.43e+20 |
J 168.45734, 9.58630| 0.024 | 0.024    | 2.24e+20 | 2.23e+20 | 1.74e+19 | 1.73e+19 | 2.41e+20 | 2.40e+20 |
J 168.51096, 20.38835| 0.021 | 0.021    | 1.32e+20 | 1.38e+20 | 8.23e+18 | 8.80e+18 | 1.40e+20 | 1.46e+20 |
J 168.68329, 79.72668| 0.041 | 0.041    | 3.59e+20 | 3.70e+20 | 5.06e+19 | 5.27e+19 | 4.10e+20 | 4.23e+20 |
J 168.83307, 54.38791| 0.011 | 0.011    | 7.68e+19 | 7.82e+19 | 2.29e+18 | 2.35e+18 | 7.91e+19 | 8.06e+19 |
J 169.90841, 51.55433| 0.016 | 0.016    | 1.26e+20 | 1.26e+20 | 5.68e+18 | 5.69e+18 | 1.32e+20 | 1.32e+20 |
J 170.20007, -43.26397| 0.097 | 0.097    | 7.57e+20 | 7.62e+20 | 2.67e+20 | 2.69e+20 | 1.02e+21 | 1.03e+21 |
J 171.40062, 54.38253| 0.014 | 0.014    | 1.02e+20 | 1.08e+20 | 3.92e+18 | 4.21e+18 | 1.06e+20 | 1.12e+20 |
J 171.70215, 35.25073| 0.023 | 0.022    | 2.20e+20 | 2.11e+20 | 1.57e+19 | 1.47e+19 | 2.36e+20 | 2.26e+20 |
J 171.81793, 19.15557| 0.020 | 0.020    | 1.41e+20 | 1.40e+20 | 8.61e+18 | 8.52e+18 | 1.50e+20 | 1.48e+20 |
J 172.52938, -14.82427| 0.037 | 0.037    | 3.39e+20 | 3.39e+20 | 4.29e+19 | 4.28e+19 | 3.81e+20 | 3.82e+20 |
J 172.96478, -12.53296| 0.034 | 0.035    | 3.43e+20 | 3.42e+20 | 4.00e+19 | 4.03e+19 | 3.83e+20 | 3.82e+20 |
J 173.14527, 53.06797| 0.012 | 0.013    | 1.05e+20 | 1.06e+20 | 3.60e+18 | 3.70e+18 | 1.09e+20 | 1.10e+20 |
J 173.20530, 10.29647| 0.036 | 0.036    | 3.32e+20 | 3.21e+20 | 4.06e+19 | 3.91e+19 | 3.72e+20 | 3.60e+20 |
J 173.24788, 10.39507| 0.035 | 0.035    | 3.29e+20 | 3.17e+20 | 3.94e+19 | 3.79e+19 | 3.68e+20 | 3.55e+20 |
J 174.12535, 67.61788| 0.010 | 0.010    | 1.03e+20 | 1.09e+20 | 2.77e+18 | 2.90e+18 | 1.06e+20 | 1.12e+20 |
J 174.12223, 21.59611| 0.024 | 0.024    | 2.00e+20 | 2.00e+20 | 1.47e+19 | 1.48e+19 | 2.14e+20 | 2.14e+20 |
J 174.17521, -60.05172| 1.045 | 1.061    | 6.10e+21 | 6.33e+21 | 1.44e+21 | 1.44e+21 | 7.54e+21 | 7.77e+21 |
J 174.64036, 25.39812| 0.026 | 0.026    | 2.13e+20 | 2.12e+20 | 1.77e+19 | 1.79e+19 | 2.31e+20 | 2.30e+20 |
J 174.81304, 25.59940| 0.025 | 0.026    | 2.11e+20 | 2.12e+20 | 1.71e+19 | 1.76e+19 | 2.28e+20 | 2.29e+20 |
J 174.78733, 59.19855| 0.013 | 0.013    | 8.94e+19 | 9.41e+19 | 3.12e+18 | 3.36e+18 | 9.25e+19 | 9.75e+19 |
J 174.71252, -23.35980| 0.047 | 0.046    | 3.45e+20 | 3.30e+20 | 5.69e+19 | 5.24e+19 | 4.01e+20 | 3.82e+20 |
J 174.75713, -37.73861| 0.120 | 0.120    | 9.66e+20 | 9.91e+20 | 4.11e+20 | 4.22e+20 | 1.38e+21 | 1.41e+21 |
J 174.92713, 31.90943| 0.023 | 0.023    | 1.97e+20 | 2.03e+20 | 1.39e+19 | 1.45e+19 | 2.11e+20 | 2.17e+20 |
J 175.31734, 21.93937| 0.024 | 0.024    | 2.06e+20 | 2.02e+20 | 1.55e+19 | 1.51e+19 | 2.21e+20 | 2.17e+20 |
J 175.54622, 10.27784| 0.042 | 0.042    | 3.52e+20 | 3.67e+20 | 5.13e+19 | 5.30e+19 | 4.03e+20 | 4.20e+20 |
J 176.12446, 36.88572| 0.020 | 0.020    | 1.66e+20 | 1.65e+20 | 9.85e+18 | 9.84e+18 | 1.76e+20 | 1.75e+20 |
J 176.31642, 79.68150| 0.067 | 0.071    | 4.40e+20 | 4.42e+20 | 1.07e+20 | 1.13e+20 | 5.48e+20 | 5.55e+20 |
J 176.41860, -18.45414| 0.039 | 0.039    | 3.06e+20 | 3.05e+20 | 4.04e+19 | 4.05e+19 | 3.46e+20 | 3.46e+20 |
J 176.38804, 58.97815| 0.017 | 0.017    | 1.26e+20 | 1.31e+20 | 6.05e+18 | 6.47e+18 | 1.32e+20 | 1.38e+20 |
J 176.47344, -69.90049| 0.342 | 0.344    | 1.65e+21 | 1.62e+21 | 1.20e+21 | 1.19e+21 | 2.85e+21 | 2.81e+21 |
J 176.97948, 9.04135| 0.027 | 0.026    | 2.01e+20 | 1.97e+20 | 1.72e+19 | 1.61e+19 | 2.18e+20 | 2.13e+20 |
J 177.19139, 29.64121| 0.020 | 0.020    | 1.60e+20 | 1.56e+20 | 9.94e+18 | 9.30e+18 | 1.70e+20 | 1.65e+20 |
J 177.32782, -4.28077| 0.027 | 0.027    | 2.15e+20 | 2.18e+20 | 1.85e+19 | 1.89e+19 | 2.33e+20 | 2.36e+20 |
J 177.33966, 53.33703| 0.019 | 0.019    | 1.43e+20 | 1.45e+20 | 8.07e+18 | 8.36e+18 | 1.51e+20 | 1.53e+20 |
J 178.01479, -11.37337| 0.039 | 0.039    | 3.03e+20 | 3.07e+20 | 4.06e+19 | 4.10e+19 | 3.43e+20 | 3.48e+20 |
J 178.15904, -5.20701| 0.029 | 0.030    | 2.15e+20 | 2.16e+20 | 2.02e+19 | 2.13e+19 | 2.35e+20 | 2.37e+20 |
J 178.35197, 49.51914| 0.020 | 0.020    | 2.13e+20 | 2.07e+20 | 1.35e+19 | 1.28e+19 | 2.27e+20 | 2.20e+20 |
J 179.48389, 55.45361| 0.013 | 0.013    | 1.00e+20 | 1.01e+20 | 3.74e+18 | 3.78e+18 | 1.04e+20 | 1.05e+20 |
J 179.71925, 42.57033| 0.016 | 0.017    | 1.21e+20 | 1.22e+20 | 5.65e+18 | 5.84e+18 | 1.27e+20 | 1.28e+20 |
J 179.92089, -19.99016| 0.044 | 0.046    | 3.13e+20 | 3.24e+20 | 4.75e+19 | 5.15e+19 | 3.60e+20 | 3.76e+20 |
J 180.24144, 6.80640| 0.015 | 0.015    | 1.18e+20 | 1.18e+20 | 5.07e+18 | 5.05e+18 | 1.23e+20 | 1.23e+20 |
J 180.30981, -3.67816| 0.029 | 0.030    | 2.44e+20 | 2.50e+20 | 2.27e+19 | 2.43e+19 | 2.66e+20 | 2.74e+20 |
J 180.69843, -53.83550| 0.214 | 0.208    | 1.41e+21 | 1.38e+21 | 8.71e+20 | 8.47e+20 | 2.28e+21 | 2.23e+21 |
J 180.79003, 44.53131| 0.013 | 0.013    | 1.15e+20 | 1.15e+20 | 4.33e+18 | 4.38e+18 | 1.19e+20 | 1.20e+20 |
J 181.12362, 20.31631| 0.029 | 0.029    | 2.27e+20 | 2.30e+20 | 2.15e+19 | 2.19e+19 | 2.49e+20 | 2.52e+20 |
J 181.17548, 27.90330| 0.020 | 0.020    | 1.77e+20 | 1.77e+20 | 1.11e+19 | 1.10e+19 | 1.88e+20 | 1.88e+20 |
J 181.18052, 31.17727| 0.018 | 0.018    | 1.41e+20 | 1.35e+20 | 7.71e+18 | 7.13e+18 | 1.48e+20 | 1.42e+20 |
J 181.48338, 49.99897| 0.023 | 0.024    | 1.95e+20 | 1.98e+20 | 1.42e+19 | 1.47e+19 | 2.09e+20 | 2.13e+20 |
J 181.59603, 52.71103| 0.018 | 0.018    | 1.66e+20 | 1.68e+20 | 9.15e+18 | 9.09e+18 | 1.75e+20 | 1.78e+20 |
J 181.88719, 33.87781| 0.015 | 0.015    | 1.42e+20 | 1.36e+20 | 6.20e+18 | 5.76e+18 | 1.48e+20 | 1.42e+20 |
J 182.30881, 47.05836| 0.017 | 0.018    | 1.62e+20 | 1.66e+20 | 8.44e+18 | 9.24e+18 | 1.71e+20 | 1.75e+20 |
J 182.37417, 43.68531| 0.014 | 0.014    | 1.24e+20 | 1.25e+20 | 4.78e+18 | 4.89e+18 | 1.28e+20 | 1.30e+20 |
J 182.51687, -46.60753| 0.104 | 0.106    | 7.50e+20 | 7.53e+20 | 2.86e+20 | 2.92e+20 | 1.04e+21 | 1.04e+21 |
J 182.63571, 39.40585| 0.025 | 0.027    | 2.13e+20 | 2.30e+20 | 1.72e+19 | 1.98e+19 | 2.30e+20 | 2.50e+20 |
J 182.68447, 38.33617| 0.020 | 0.021    | 1.81e+20 | 1.84e+20 | 1.10e+19 | 1.18e+19 | 1.92e+20 | 1.96e+20 |
J 182.80952, -39.55742| 0.091 | 0.088    | 7.29e+20 | 6.88e+20 | 2.42e+20 | 2.22e+20 | 9.72e+20 | 9.09e+20 |
J 183.26279, 7.03892| 0.017 | 0.017    | 1.39e+20 | 1.39e+20 | 7.18e+18 | 7.12e+18 | 1.46e+20 | 1.46e+20 |
J 183.28878, 32.59636| 0.012 | 0.012    | 1.09e+20 | 1.07e+20 | 3.71e+18 | 3.69e+18 | 1.12e+20 | 1.10e+20 |
J 183.26587, 32.79354| 0.012 | 0.012    | 1.12e+20 | 1.08e+20 | 3.84e+18 | 3.72e+18 | 1.16e+20 | 1.12e+20 |
J 183.47742, -5.50544| 0.045 | 0.046    | 3.57e+20 | 3.54e+20 | 5.63e+19 | 5.62e+19 | 4.13e+20 | 4.11e+20 |
J 183.57428, 29.52870| 0.020 | 0.020    | 1.78e+20 | 1.77e+20 | 1.07e+19 | 1.08e+19 | 1.88e+20 | 1.88e+20 |
J 184.23806, -26.20917| 0.081 | 0.080    | 6.89e+20 | 6.91e+20 | 2.03e+20 | 2.03e+20 | 8.92e+20 | 8.93e+20 |
J 184.29117, 7.19161| 0.020 | 0.020    | 1.49e+20 | 1.45e+20 | 9.20e+18 | 8.80e+18 | 1.58e+20 | 1.53e+20 |
J 184.61048, 29.81294| 0.019 | 0.019    | 1.79e+20 | 1.78e+20 | 1.04e+19 | 1.05e+19 | 1.89e+20 | 1.89e+20 |
J 184.73959, 47.30401| 0.016 | 0.016    | 1.50e+20 | 1.60e+20 | 7.00e+18 | 7.80e+18 | 1.57e+20 | 1.67e+20 |
J 185.34143, 30.17698| 0.021 | 0.021    | 1.99e+20 | 1.94e+20 | 1.30e+19 | 1.24e+19 | 2.12e+20 | 2.06e+20 |
J 185.43372, 75.31064| 0.042 | 0.038    | 3.01e+20 | 2.80e+20 | 4.35e+19 | 3.59e+19 | 3.45e+20 | 3.16e+20 |
J 185.59394, 4.22105| 0.018 | 0.019    | 1.64e+20 | 1.63e+20 | 9.06e+18 | 9.18e+18 | 1.73e+20 | 1.73e+20 |
J 185.85057, 2.67903| 0.018 | 0.018    | 1.59e+20 | 1.58e+20 | 8.82e+18 | 8.67e+18 | 1.68e+20 | 1.66e+20 |
J 186.22692, 21.37957| 0.026 | 0.026    | 2.12e+20 | 2.09e+20 | 1.72e+19 | 1.74e+19 | 2.29e+20 | 2.27e+20 |
J 186.44491, 12.66216| 0.033 | 0.034    | 2.61e+20 | 2.58e+20 | 2.81e+19 | 2.88e+19 | 2.89e+20 | 2.87e+20 |
J 186.45365, 33.54691| 0.015 | 0.016    | 1.73e+20 | 1.85e+20 | 7.94e+18 | 8.66e+18 | 1.81e+20 | 1.93e+20 |
J 187.27791, 2.05239| 0.019 | 0.019    | 1.68e+20 | 1.67e+20 | 9.55e+18 | 9.48e+18 | 1.78e+20 | 1.77e+20 |
J 187.84246, 57.96462| 0.012 | 0.012    | 8.58e+19 | 8.30e+19 | 2.86e+18 | 2.69e+18 | 8.86e+19 | 8.57e+19 |
J 187.90476, -47.96723| 0.117 | 0.114    | 1.01e+21 | 9.90e+20 | 4.18e+20 | 4.02e+20 | 1.43e+21 | 1.39e+21 |
J 188.01509, 20.15821| 0.030 | 0.032    | 2.66e+20 | 2.75e+20 | 2.62e+19 | 2.91e+19 | 2.92e+20 | 3.04e+20 |
J 188.05006, -42.29737| 0.098 | 0.098    | 7.62e+20 | 7.57e+20 | 2.73e+20 | 2.70e+20 | 1.03e+21 | 1.03e+21 |
J 188.90265, -39.90935| 0.096 | 0.097    | 6.97e+20 | 7.04e+20 | 2.46e+20 | 2.49e+20 | 9.44e+20 | 9.53e+20 |
J 189.68094, 9.46017| 0.021 | 0.021    | 1.47e+20 | 1.44e+20 | 9.25e+18 | 9.09e+18 | 1.56e+20 | 1.53e+20 |
J 189.72749, -27.30780| 0.069 | 0.069    | 5.56e+20 | 5.45e+20 | 1.40e+20 | 1.38e+20 | 6.96e+20 | 6.83e+20 |
J 189.77619, -16.17978| 0.041 | 0.042    | 3.05e+20 | 3.02e+20 | 4.30e+19 | 4.31e+19 | 3.48e+20 | 3.45e+20 |
J 189.91434, -5.34416| 0.027 | 0.027    | 1.88e+20 | 1.89e+20 | 1.60e+19 | 1.63e+19 | 2.04e+20 | 2.05e+20 |
J 189.96528, 34.97495| 0.015 | 0.015    | 1.40e+20 | 1.41e+20 | 6.12e+18 | 6.19e+18 | 1.46e+20 | 1.47e+20 |
J 190.43562, 35.06272| 0.015 | 0.014    | 1.44e+20 | 1.39e+20 | 6.17e+18 | 5.56e+18 | 1.50e+20 | 1.44e+20 |
J 190.19577, -33.56990| 0.080 | 0.077    | 6.08e+20 | 5.95e+20 | 1.78e+20 | 1.68e+20 | 7.85e+20 | 7.64e+20 |
J 190.19327, 27.56495| 0.015 | 0.015    | 1.24e+20 | 1.23e+20 | 5.37e+18 | 5.28e+18 | 1.29e+20 | 1.28e+20 |
J 190.35732, -57.83429| 0.634 | 0.638    | 3.06e+21 | 3.01e+21 | 1.44e+21 | 1.44e+21 | 4.50e+21 | 4.45e+21 |
J 191.66621, 54.53429| 0.016 | 0.015    | 1.41e+20 | 1.35e+20 | 6.44e+18 | 5.87e+18 | 1.48e+20 | 1.40e+20 |
J 191.99124, -58.50010| 0.652 | 0.598    | 3.20e+21 | 2.97e+21 | 1.44e+21 | 1.44e+21 | 4.64e+21 | 4.40e+21 |
J 193.05196, -13.41476| 0.052 | 0.052    | 3.45e+20 | 3.52e+20 | 6.24e+19 | 6.38e+19 | 4.07e+20 | 4.16e+20 |
J 193.33461, -41.63560| 0.117 | 0.116    | 8.51e+20 | 8.47e+20 | 3.57e+20 | 3.55e+20 | 1.21e+21 | 1.20e+21 |
J 193.73477, -26.95054| 0.078 | 0.079    | 6.52e+20 | 6.59e+20 | 1.87e+20 | 1.91e+20 | 8.39e+20 | 8.50e+20 |
J 194.04648, -5.78936| 0.032 | 0.032    | 2.01e+20 | 2.05e+20 | 2.08e+19 | 2.12e+19 | 2.22e+20 | 2.26e+20 |
J 195.02229, 16.53745| 0.031 | 0.030    | 2.04e+20 | 1.98e+20 | 2.02e+19 | 1.90e+19 | 2.24e+20 | 2.17e+20 |
J 195.74517, 16.40771| 0.026 | 0.026    | 1.94e+20 | 1.89e+20 | 1.60e+19 | 1.53e+19 | 2.10e+20 | 2.04e+20 |
J 195.99789, 53.79163| 0.017 | 0.018    | 1.54e+20 | 1.69e+20 | 7.91e+18 | 9.36e+18 | 1.62e+20 | 1.78e+20 |
J 196.05457, -5.55160| 0.036 | 0.034    | 2.19e+20 | 2.17e+20 | 2.56e+19 | 2.43e+19 | 2.44e+20 | 2.41e+20 |
J 196.05968, -10.33950| 0.047 | 0.046    | 3.25e+20 | 3.30e+20 | 5.24e+19 | 5.24e+19 | 3.78e+20 | 3.83e+20 |
J 196.36438, -49.46804| 0.189 | 0.189    | 1.38e+21 | 1.38e+21 | 7.95e+20 | 7.93e+20 | 2.18e+21 | 2.17e+21 |
J 196.38755, -10.55538| 0.048 | 0.048    | 3.22e+20 | 3.30e+20 | 5.34e+19 | 5.50e+19 | 3.76e+20 | 3.85e+20 |
J 196.60885, -40.41461| 0.109 | 0.106    | 8.04e+20 | 7.98e+20 | 3.19e+20 | 3.08e+20 | 1.12e+21 | 1.11e+21 |
J 196.80038, -40.40756| 0.109 | 0.106    | 8.02e+20 | 7.87e+20 | 3.18e+20 | 3.02e+20 | 1.12e+21 | 1.09e+21 |
J 197.27333, 11.63414| 0.027 | 0.027    | 1.98e+20 | 1.93e+20 | 1.72e+19 | 1.65e+19 | 2.16e+20 | 2.10e+20 |
J 197.68069, -55.86982| 0.488 | 0.472    | 2.33e+21 | 2.22e+21 | 1.40e+21 | 1.39e+21 | 3.74e+21 | 3.61e+21 |
J 197.65437, -56.44851| 0.489 | 0.527    | 2.36e+21 | 2.44e+21 | 1.41e+21 | 1.42e+21 | 3.77e+21 | 3.86e+21 |
J 197.73857, 8.62731| 0.030 | 0.029    | 2.16e+20 | 2.18e+20 | 2.06e+19 | 2.07e+19 | 2.37e+20 | 2.38e+20 |
J 198.27406, -11.12844| 0.046 | 0.047    | 2.61e+20 | 2.65e+20 | 4.07e+19 | 4.22e+19 | 3.02e+20 | 3.07e+20 |
J 198.45399, 36.89944| 0.012 | 0.012    | 1.17e+20 | 1.10e+20 | 4.08e+18 | 3.60e+18 | 1.21e+20 | 1.14e+20 |
J 198.36449, 36.59388| 0.011 | 0.011    | 1.06e+20 | 1.06e+20 | 3.25e+18 | 3.28e+18 | 1.09e+20 | 1.10e+20 |
J 198.82216, 44.40719| 0.019 | 0.019    | 1.50e+20 | 1.48e+20 | 8.42e+18 | 8.45e+18 | 1.58e+20 | 1.57e+20 |
J 199.22624, -71.92418| 0.272 | 0.278    | 1.61e+21 | 1.62e+21 | 1.08e+21 | 1.09e+21 | 2.69e+21 | 2.72e+21 |
J 200.24824, 8.97837| 0.025 | 0.025    | 1.70e+20 | 1.71e+20 | 1.30e+19 | 1.34e+19 | 1.83e+20 | 1.84e+20 |
J 200.60192, -16.72845| 0.079 | 0.079    | 5.21e+20 | 4.99e+20 | 1.51e+20 | 1.44e+20 | 6.72e+20 | 6.44e+20 |
J 201.36509, -43.01922| 0.125 | 0.123    | 8.26e+20 | 8.09e+20 | 3.70e+20 | 3.59e+20 | 1.20e+21 | 1.17e+21 |
J 202.80762, -25.40276| 0.067 | 0.068    | 4.80e+20 | 4.78e+20 | 1.16e+20 | 1.17e+20 | 5.96e+20 | 5.95e+20 |
J 203.01860, -5.16199| 0.031 | 0.031    | 2.15e+20 | 2.18e+20 | 2.16e+19 | 2.16e+19 | 2.37e+20 | 2.40e+20 |
J 203.16927, -77.84459| 0.231 | 0.208    | 1.00e+21 | 1.01e+21 | 7.27e+20 | 6.78e+20 | 1.73e+21 | 1.69e+21 |
