Position|E(B-V)_Mean|E(B-V)_Weighted|NHI_Mean|NHI_Weighted|NH2_Mean|NH2_Weighted|NHtot_Mean|NHtot_Weighted|
J 351.84154, 15.41037| 0.055 | 0.058    | 3.61e+20 | 3.68e+20 | 6.98e+19 | 7.59e+19 | 4.31e+20 | 4.44e+20 |
J 351.88991, 9.66936| 0.051 | 0.047    | 4.10e+20 | 3.99e+20 | 7.33e+19 | 6.64e+19 | 4.83e+20 | 4.65e+20 |
J 352.26632, 3.53330| 0.064 | 0.064    | 5.08e+20 | 5.19e+20 | 1.17e+20 | 1.21e+20 | 6.26e+20 | 6.40e+20 |
J 352.65704, 71.37961| 0.645 | 0.677    | 2.75e+21 | 2.77e+21 | 1.44e+21 | 1.44e+21 | 4.18e+21 | 4.20e+21 |
J 353.48014, -23.72796| 0.022 | 0.023    | 1.60e+20 | 1.63e+20 | 1.09e+19 | 1.14e+19 | 1.71e+20 | 1.75e+20 |
J 355.48113, 30.58177| 0.100 | 0.106    | 5.69e+20 | 5.79e+20 | 2.09e+20 | 2.24e+20 | 7.78e+20 | 8.03e+20 |
J 355.99817, 5.63990| 0.104 | 0.109    | 6.91e+20 | 7.13e+20 | 2.62e+20 | 2.83e+20 | 9.53e+20 | 9.95e+20 |
J 356.18295, -42.72012| 0.015 | 0.015    | 1.53e+20 | 1.52e+20 | 6.63e+18 | 6.49e+18 | 1.60e+20 | 1.58e+20 |
J 356.77014, 51.70497| 0.228 | 0.227    | 1.51e+21 | 1.50e+21 | 9.47e+20 | 9.41e+20 | 2.46e+21 | 2.44e+21 |
J 357.98384, -1.15369| 0.030 | 0.029    | 3.65e+20 | 3.60e+20 | 3.73e+19 | 3.56e+19 | 4.03e+20 | 3.95e+20 |
J 358.09206, 58.75854| 1.021 | 1.084    | 5.01e+21 | 5.06e+21 | 1.44e+21 | 1.44e+21 | 6.45e+21 | 6.50e+21 |
J 358.21424, -17.07700| 0.024 | 0.024    | 1.57e+20 | 1.59e+20 | 1.17e+19 | 1.20e+19 | 1.69e+20 | 1.71e+20 |
J 359.78292, -30.62796| 0.015 | 0.015    | 1.42e+20 | 1.44e+20 | 6.17e+18 | 6.25e+18 | 1.48e+20 | 1.50e+20 |
J 359.76794, -60.91644| 0.015 | 0.013    | 1.56e+20 | 1.51e+20 | 6.72e+18 | 5.76e+18 | 1.63e+20 | 1.57e+20 |
J 307.14609, 25.73338| 0.479 | 0.455    | 2.15e+21 | 2.07e+21 | 1.39e+21 | 1.37e+21 | 3.54e+21 | 3.45e+21 |
J 32.33686, -10.13309| 0.024 | 0.024    | 2.50e+20 | 2.53e+20 | 1.93e+19 | 1.99e+19 | 2.69e+20 | 2.73e+20 |
J 253.24540, 2.40102| 0.079 | 0.078    | 4.96e+20 | 4.87e+20 | 1.43e+20 | 1.39e+20 | 6.39e+20 | 6.26e+20 |
