|name                       |ra        |dec      |time               |obsid      |status   |exposure_a|observation_mode|public_date|issue_flag|end_time           |_Search_Offset                  |
|2MASXJ01064523p0638015     |01 06 45.2|+06 38 02|                   |60061005   |accepted |    -20000|                |           |          |                   |    0.018 (16.6886002,6.6338489)|
|1RXSJ010713d0m113554       |01 07 18.9|-11 34 57|2016-09-16 09:56:08|60260004002|archived |     20990|SCIENCE         | 2016-09-26|         0|2016-09-16 20:51:08|   6.617 (16.9151809,-11.653119)|
|1RXSJ010737d5m113946       |01 07 37.8|-11 39 57|                   |60160040   |accepted |    -20000|                |           |          |                   |   0.890 (16.9151809,-11.653119)|
|2MASXJ01073963m1139117     |01 07 39.6|-11 39 11|                   |60160041   |accepted |    -20000|                |           |          |                   |   0.002 (16.9151809,-11.653119)|
|3C033                      |01 08 52.8|+13 20 13|                   |60061006   |accepted |    -20000|                |           |          |                   |   0.026 (17.2203085,13.3373168)|
|NGC424                     |01 11 37.0|-38 06 11|2020-10-24 16:26:09|60662007002|archived |     33724|SCIENCE         | 2021-11-02|         0|2020-10-25 12:21:09|   2.185 (17.8651625,-38.083459)|
|NGC_424                    |01 11 31.2|-38 02 32|2022-06-19 10:26:09|60802013002|archived |     22704|SCIENCE         | 2023-06-05|         0|2022-06-19 22:01:09|   2.579 (17.8651625,-38.083459)|
|NGC_424                    |01 11 30.1|-38 07 51|2022-11-19 02:16:09|60802013006|archived |     22583|SCIENCE         | 2023-06-05|         0|2022-11-19 13:16:09|   2.875 (17.8651625,-38.083459)|
|NGC_424                    |01 11 39.4|-38 02 44|2022-07-21 06:51:09|60802013004|archived |     18018|SCIENCE         | 2023-06-05|         1|2022-07-21 17:46:09|   3.248 (17.8651625,-38.083459)|
|NGC424                     |01 11 20.2|-38 06 01|2013-01-26 06:36:07|60061007002|archived |     15479|SCIENCE         | 2015-03-31|         0|2013-01-26 14:21:07|   1.778 (17.8651625,-38.083459)|
|87GB011040d5p250307        |01 13 18.4|+25 16 15|2021-02-15 00:16:09|60160045002|archived |     21520|SCIENCE         | 2021-02-22|         0|2021-02-15 11:21:09|   2.814 (18.3445605,25.3147963)|
|Mrk975                     |01 13 54.7|+13 18 50|2022-08-07 18:41:09|60160046002|archived |     22147|SCIENCE         | 2022-08-15|         1|2022-08-08 07:51:09|    2.673 (18.462671,13.2717505)|
|Mrk1152                    |01 13 50.1|-14 50 44|                   |60160047   |accepted |    -20000|                |           |          |                   |   0.009 (18.4586759,-14.845654)|
|IC1663                     |01 14 03.0|-32 40 27|2017-01-15 23:46:09|60261007002|archived |     45155|SCIENCE         | 2017-01-20|         0|2017-01-16 23:41:09|   1.644 (18.5292124,-32.650883)|
|IC1663                     |01 13 59.3|-32 40 22|2013-01-26 15:51:07|60061008003|archived |     10492|SCIENCE         | 2015-03-31|         0|2013-01-26 22:21:07|   2.084 (18.5292124,-32.650883)|
|IC1663                     |01 14 00.8|-32 40 07|2013-01-26 14:31:07|60061008002|archived |      2410|SCIENCE         | 2015-03-31|         0|2013-01-26 15:51:07|   1.682 (18.5292124,-32.650883)|
|NGC454E                    |01 14 02.1|-55 24 28|2021-02-14 11:21:09|60760003002|archived |     25388|SCIENCE         | 2022-02-15|         0|2021-02-14 23:36:09|   3.306 (18.6039118,-55.397048)|
|NGC454E                    |01 14 10.2|-55 24 17|2016-02-14 05:16:08|60061009002|archived |     24228|SCIENCE         | 2016-02-19|         0|2016-02-14 16:41:08|   2.135 (18.6039118,-55.397048)|
|NGC452                     |01 16 14.8|+31 02 02|                   |60161050   |accepted |    -20000|                |           |          |                   |   0.007 (19.0616678,31.0338419)|
|2MASXJ01163118m1236171     |01 16 31.2|-12 36 17|                   |60161051   |accepted |    -20000|                |           |          |                   |   0.007 (19.1297888,-12.604714)|
|HB89_0119m286              |01 21 51.5|-28 20 57|                   |60160052   |accepted |    -20000|                |           |          |                   |   0.016 (20.4646356,-28.349368)|
|MCGp08_03_018              |01 22 31.5|+50 03 29|2014-01-27 19:36:07|60061010002|archived |     31657|SCIENCE         | 2015-03-31|         0|2014-01-28 11:46:07|   0.504 (20.6433963,50.0549783)|
|SHBLJ012308d7p342049       |01 23 02.6|+34 18 42|2023-12-20 07:46:09|60160054002|archived |     21398|SCIENCE         | 2023-12-25|         1|2023-12-20 18:46:09|   2.439 (20.7859782,34.3467826)|
|NGC526A                    |01 23 54.4|-35 03 55|                   |60160055   |accepted |    -20000|                |           |          |                   |   0.009 (20.9765475,-35.065445)|
|Fairall_9                  |01 23 45.3|-58 46 46|2014-05-09 23:01:07|60001130003|archived |     93835|SCIENCE         | 2015-09-21|         1|2014-05-11 15:26:07|   1.578 (20.9407192,-58.805775)|
|Fairall_9                  |01 23 31.2|-58 44 51|2014-05-09 02:16:07|60001130002|archived |     49205|SCIENCE         | 2015-09-21|         0|2014-05-09 23:01:07|   3.972 (20.9407192,-58.805775)|
|Fairall_9                  |01 23 34.2|-58 45 31|2014-05-09 01:21:07|60001130001|archived |        49|SCIENCE         | 2015-09-21|         0|2014-05-09 02:16:07|   3.195 (20.9407192,-58.805775)|
|NGC0513                    |01 24 27.1|+33 45 49|2013-02-16 07:01:07|60061012002|archived |     16040|SCIENCE         | 2015-03-31|         0|2013-02-16 14:41:07|    2.160 (21.1116658,33.799487)|
|1RXSJ012556d6p351039       |01 25 56.0|+35 10 34|                   |60160058   |accepted |    -20000|                |           |          |                   |    0.049 (21.4830788,35.176913)|
|RHS10                      |01 25 58.1|+15 18 14|                   |60160059   |accepted |    -20000|                |           |          |                   |   0.002 (21.4919297,15.3037975)|
|Mrk_359                    |01 27 31.4|+19 09 03|2019-01-24 20:26:09|60402021002|archived |     52526|SCIENCE         | 2020-02-10|         1|2019-01-26 01:06:09|   1.707 (21.8854896,19.1788337)|
|Mrk_359                    |01 27 31.0|+19 08 21|2019-02-01 21:36:09|60402021010|archived |     51691|SCIENCE         | 2020-02-10|         0|2019-02-03 01:26:09|   2.412 (21.8854896,19.1788337)|
|Mrk_359                    |01 27 29.0|+19 08 05|2019-01-28 21:06:09|60402021006|archived |     50995|SCIENCE         | 2020-02-10|         0|2019-01-30 00:31:09|   2.772 (21.8854896,19.1788337)|
|Mrk_359                    |01 27 31.1|+19 09 03|2019-01-26 12:41:09|60402021004|archived |     49710|SCIENCE         | 2020-02-10|         0|2019-01-27 16:01:09|   1.709 (21.8854896,19.1788337)|
|Mrk_359                    |01 27 29.9|+19 07 51|2019-01-31 00:36:09|60402021008|archived |     47987|SCIENCE         | 2020-02-10|         1|2019-02-01 02:21:09|   2.953 (21.8854896,19.1788337)|
|RX_J0128d1m1848            |01 28 02.3|-18 50 34|2023-01-07 05:16:09|80701608002|archived |     57259|SCIENCE         | 2024-02-06|         0|2023-01-08 11:26:09|   2.299 (22.0280068,-18.808629)|
|MCGm03m04m072              |01 28 03.6|-18 49 53|2015-01-12 06:11:07|60160061002|archived |     21879|SCIENCE         | 2015-09-17|         0|2015-01-12 17:31:07|   1.548 (22.0280068,-18.808629)|
|CGCG459m058                |01 28 24.4|+16 27 33|                   |60161062   |accepted |    -20000|                |           |          |                   |   0.008 (22.1018382,16.4593292)|
|SWIFT_J0128d9m6039         |01 29 06.9|-60 40 15|2016-12-03 14:56:08|60201035002|archived |     24987|SCIENCE         | 2017-12-08|         0|2016-12-04 02:51:08|   1.555 (22.2818629,-60.645036)|
|2MASXJ01290761m6038423     |01 29 27.6|-60 37 51|2020-08-30 01:26:09|60161063002|archived |     21106|SCIENCE         | 2020-09-07|         0|2020-08-30 13:56:09|   2.585 (22.2818629,-60.645036)|
|ESO_244mIG030              |01 29 49.2|-42 17 43|2018-05-23 03:21:09|60468001002|archived |     30132|SCIENCE         | 2019-06-01|         0|2018-05-23 19:56:09|   1.912 (22.4632342,-42.326454)|
|2MASXJ01302127m4601448     |01 30 20.4|-45 59 43|2015-06-03 07:31:07|60161065002|archived |     23079|SCIENCE         | 2015-06-05|         0|2015-06-03 18:31:07|   2.031 (22.5887222,-46.029149)|
|ESO353_G009                |01 31 50.1|-33 07 11|                   |60061013   |accepted |    -20000|                |           |          |                   |    0.064 (22.9600122,-33.11929)|
|NGC612                     |01 34 03.2|-36 29 02|2012-09-14 07:41:07|60061014002|archived |     16687|SCIENCE         | 2015-03-31|         0|2012-09-14 16:26:07|   1.239 (23.4903535,-36.493219)|
|2MASXJ01344565m0430134     |01 34 45.6|-04 30 13|                   |60160068   |accepted |    -20000|                |           |          |                   |    0.010 (23.690138,-4.5036554)|
|B30133p388                 |01 36 32.5|+39 06 00|                   |60160069   |accepted |    -20000|                |           |          |                   |   0.021 (24.1358277,39.0997756)|
|ESO297_G018                |01 38 37.2|-40 00 40|                   |60061015   |accepted |    -20000|                |           |          |                   |   0.015 (24.6548345,-40.011438)|
|2MASXJ01392400p2924067     |01 39 17.7|+29 23 00|2015-11-25 05:26:08|60260012002|archived |     21329|SCIENCE         | 2015-12-02|         0|2015-11-25 16:16:08|   1.766 (24.8500212,29.4019643)|
|2MASXJ01402676m5319389     |01 40 10.4|-53 19 12|2015-03-03 11:06:07|60160072002|archived |     22558|SCIENCE         | 2015-09-17|         0|2015-03-03 22:41:07|   2.485 (25.1116719,-53.327614)|
|B20138p39B                 |01 41 57.7|+39 23 29|                   |60160073   |accepted |    -20000|                |           |          |                   |    0.005 (25.4906996,39.391449)|
