Results from heasarc_numaster: NuSTAR Master Catalog
Coordinate system:  Equatorial
|name                   |ra        |dec      |time               |obsid      |status   |exposure_a|observation_mode|obs_type|processing_date    |public_date|issue_flag|_Search_Offset                |
|Mrk595                 |02 41 32.5|+07 10 06|2017-01-18 08:16:09|60160119002|archived |     21298|SCIENCE         |EGS     |2020-09-19 05:59:38| 2017-01-25|         0|     1.269 (SWIFTJ0241.6+0711)|
|2MASXJ02421465p0530361 |02 42 14.6|+05 30 36|                   |60160121   |accepted |    -20000|                |EGS     |                   |           |          |     0.001 (SWIFTJ0242.2+0531)|
|ESO479mG031            |02 44 47.7|-24 30 50|                   |60160124   |accepted |    -20000|                |EGS     |                   |           |          |     0.006 (SWIFTJ0244.7-2433)|
|HB89_0241p622          |02 45 03.8|+62 29 23|2016-07-31 06:46:08|60160125002|archived |     23372|SCIENCE         |EGS     |2020-09-23 23:55:55| 2016-08-04|         0|     1.448 (SWIFTJ0244.8+6227)|
|HB89_0241p622          |02 45 03.1|+62 29 51|2016-07-31 06:31:08|60160125001|archived |        31|SCIENCE         |EGS     |2020-09-24 00:08:03| 2016-08-04|         0|     1.852 (SWIFTJ0244.8+6227)|
|MCGm02m08m038          |03 00 04.3|-10 49 28|                   |60160139   |accepted |    -20000|                |EGS     |                   |           |          |     0.007 (SWIFTJ0300.0-1048)|
|ESO031mG008            |03 07 19.0|-72 49 08|2017-04-23 15:41:09|60160141002|archived |     31655|SCIENCE         |EGS     |2020-09-02 13:34:40| 2017-04-26|         1|     1.512 (SWIFTJ0308.5-7251)|
|ESO031mG008            |03 07 27.0|-72 49 35|2017-04-23 15:06:09|60160141001|archived |       383|SCIENCE         |EGS     |2020-09-02 13:46:12| 2017-04-26|         0|     0.765 (SWIFTJ0308.5-7251)|
|2MASXJ03104435p3239296 |03 10 44.4|+32 39 29|                   |60160143   |accepted |    -20000|                |EGS     |                   |           |          |     0.007 (SWIFTJ0311.1+3241)|
|RXJ0311d3m2046         |03 11 18.8|-20 46 18|                   |60160144   |accepted |    -20000|                |EGS     |                   |           |          |     0.006 (SWIFTJ0311.5-2045)|
|2MASXJ03120291p5029147 |03 12 03.0|+50 29 15|                   |60161146   |accepted |    -20000|                |EGS     |                   |           |          |     0.004 (SWIFTJ0311.9+5032)|
|LCRSB032315d2m420449   |03 25 05.1|-41 56 17|2015-12-18 06:26:08|60160152002|archived |     22147|SCIENCE         |EGS     |2020-10-04 03:58:24| 2015-12-23|         0|     2.053 (SWIFTJ0325.0-4154)|
