Results from heasarc_chanmaster: Chandra Observations
Coordinate system:  Equatorial
|obsid|status     |name                                  |ra         |dec        |time               |detector|grating|exposure|type|pi              |public_date|_Search_Offset             |
|16219|archived   |3C 111                                |04 18 21.30|+38 01 35.8|2014-11-04 10:48:56|ACIS-S  |HETG   |  145870|GO  |Tombesi         | 2015-11-07|  0.004 (SWIFTJ0418.3+3800)|
|14990|archived   |3C 111                                |04 18 21.30|+38 01 36.0|2013-01-10 04:29:04|ACIS-S  |NONE   |  122250|GO  |Perlman         | 2014-01-15|  0.006 (SWIFTJ0418.3+3800)|
|20907|archived   |3C 111                                |04 18 21.30|+38 01 36.0|2017-12-29 03:21:51|ACIS-S  |NONE   |   30090|GO  |Perlman         | 2019-01-02|  0.006 (SWIFTJ0418.3+3800)|
|20908|archived   |3C 111                                |04 18 21.30|+38 01 36.0|2017-12-29 18:15:31|ACIS-S  |NONE   |   29090|GO  |Perlman         | 2019-01-02|  0.006 (SWIFTJ0418.3+3800)|
|19615|archived   |3C 111                                |04 18 21.30|+38 01 36.0|2017-12-26 15:46:41|ACIS-S  |NONE   |   24090|GO  |Perlman         | 2019-01-02|  0.006 (SWIFTJ0418.3+3800)|
|19616|archived   |3C 111                                |04 18 21.30|+38 01 36.0|2019-01-03 10:22:18|ACIS-S  |NONE   |   24070|GO  |Perlman         | 2020-01-08|  0.006 (SWIFTJ0418.3+3800)|
|22024|archived   |3C 111                                |04 18 21.30|+38 01 36.0|2018-12-29 06:55:26|ACIS-S  |NONE   |   20070|GO  |Perlman         | 2020-01-08|  0.006 (SWIFTJ0418.3+3800)|
|22025|archived   |3C 111                                |04 18 21.30|+38 01 36.0|2019-01-06 08:00:32|ACIS-S  |NONE   |   16570|GO  |Perlman         | 2020-01-08|  0.006 (SWIFTJ0418.3+3800)|
|22023|archived   |3C 111                                |04 18 21.30|+38 01 36.0|2018-12-30 08:04:59|ACIS-S  |NONE   |   16070|GO  |Perlman         | 2020-01-08|  0.006 (SWIFTJ0418.3+3800)|
|22026|archived   |3C 111                                |04 18 21.30|+38 01 36.0|2019-01-07 03:32:32|ACIS-S  |NONE   |   13070|GO  |Perlman         | 2020-01-08|  0.006 (SWIFTJ0418.3+3800)|
| 9279|archived   |QSO B0415+379                         |04 18 21.30|+38 01 35.8|2008-12-08 06:04:09|ACIS-S  |NONE   |   10140|GO  |Lister          | 2009-12-08|  0.004 (SWIFTJ0418.3+3800)|
