Results from heasarc_xmmmaster: XMM-Newton Master Log & Public Archive
Coordinate system:  Equatorial
|obsid     |status   |name                |ra         |dec        |time               |duration|pi_lname            |pi_fname      |public_date|data_in_heasarc|_Search_Offset             |
|0503690101|archived |4U0241+61           |02 44 57.70|+62 28 06.5|2008-02-28 16:50:09|  118370|Bregman             |Joel          | 2009-09-29|Y              |  0.001 (SWIFTJ0244.8+6227)|
|0503690201|archived |4U0241+61           |02 44 57.70|+62 28 06.5|2008-02-28 14:36:51|    6871|Bregman             |Joel          | 2009-09-29|Y              |  0.001 (SWIFTJ0244.8+6227)|
|0503690401|archived |4U0241+61           |02 44 57.70|+62 28 06.5|2008-08-18 18:11:12|   34919|Bregman             |Joel          | 2009-09-29|Y              |  0.001 (SWIFTJ0244.8+6227)|
|0550450301|archived |QSO B0241+62        |02 44 57.60|+62 28 04.8|2009-02-14 19:43:11|   30345|Bassani             |Loredana      | 2010-03-09|Y              |  0.031 (SWIFTJ0244.8+6227)|
|0312190601|archived |ESO 548-G081 SWIFT  |03 42 03.72|-21 14 39.7|2006-01-28 06:29:07|   11908|Schartel (DDT)      |Norbert       | 2007-02-14|Y              |  0.002 (SWIFTJ0342.0-2115)|
|0301450301|archived |fairall 1116        |03 51 41.70|-40 27 59.0|2005-08-28 04:12:16|   20519|Matt                |Giorgio       | 2006-10-17|Y              |  0.004 (SWIFTJ0351.7-4030)|
|0201130101|archived |ESO 359-G19         |04 05 01.70|-37 11 15.0|2004-03-09 05:53:17|   24443|Santos-Lleo         |Maria         | 2005-04-23|Y              |  0.004 (SWIFTJ0405.3-3707)|
|0795600101|archived |3C 109              |04 13 40.37|+11 12 13.8|2017-08-20 02:33:43|   64700|Lohfink             |Anne Maria    | 2018-09-10|Y              |  0.018 (SWIFTJ0413.8+1112)|
|0200910101|archived |3C 109              |04 13 40.40|+11 12 14.0|2005-02-03 17:33:35|   40512|BALLANTYNE          |D.R.          | 2006-03-06|Y              |  0.020 (SWIFTJ0413.8+1112)|
|0903040601|processed|IRAS04124-0803      |04 14 52.66|-07 55 39.7|2022-08-13 19:56:12|   25400|Koss                |Michael       | 2023-08-26|N              |  0.001 (SWIFTJ0414.8-0754)|
|0552180101|archived |3C111               |04 18 21.28|+38 01 35.7|2009-02-15 17:25:11|  124572|MARSCHER            |ALAN          | 2010-03-10|Y              |  0.002 (SWIFTJ0418.3+3800)|
|0552180201|archived |3C111               |04 18 21.28|+38 01 35.7|2009-02-15 14:44:57|    7812|MARSCHER            |ALAN          | 2009-02-15|Y              |  0.002 (SWIFTJ0418.3+3800)|
|0065940101|archived |3C 111              |04 18 21.07|+38 01 32.6|2001-03-14 12:56:44|   44828|Eracleous           |Michael       | 2003-03-25|Y              |  0.067 (SWIFTJ0418.3+3800)|
|0604720301|archived |1H 0419-577         |04 26 00.80|-57 12 02.0|2010-05-30 07:01:33|  106711|Costantini          |Elisa         | 2011-06-23|Y              |  0.012 (SWIFTJ0426.2-5711)|
|0820360201|archived |1H 0419-577         |04 26 00.70|-57 12 01.0|2018-11-13 21:21:53|   53300|Reeves              |James         | 2019-12-03|Y              |  0.014 (SWIFTJ0426.2-5711)|
