SwiftName,xtable
SWIFTJ0438.2m1048,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX010700/r26498560/enhanced/SPITZER_S5_26498560_01_merge.tbl
SWIFTJ0440.2m5941,null
SWIFTJ0440.9p2741,null
SWIFTJ0441.2m2704,null
SWIFTJ0441.8m0823,null
SWIFTJ0443.9p2856,null
SWIFTJ0444.1p2813,null
SWIFTJ0445.0m2816,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX010700/r26415872/enhanced/SPITZER_S5_26415872_01_merge.tbl
SWIFTJ0446.4p1828,null
SWIFTJ0449.6m5515,null
SWIFTJ0451.4m0346,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX010700/r26487296/enhanced/SPITZER_S5_26487296_01_merge.tbl
SWIFTJ0450.7m5813,null
SWIFTJ0452.2p4933,null
SWIFTJ0453.4p0404,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX010600/r26482176/enhanced/SPITZER_S5_26482176_01_merge.tbl
SWIFTJ0454.6m4315,null
SWIFTJ0456.3m7532,null
SWIFTJ0459.9p2703,null
SWIFTJ0459.7p3502,null
SWIFTJ0502.1p0332,null
SWIFTJ0503.0p2302,null
SWIFTJ0504.6m7345,null
SWIFTJ0505.6m6735,null
SWIFTJ0505.8m2351,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX010600/r26490368/enhanced/SPITZER_S5_26490368_01_merge.tbl
SWIFTJ0507.7p6732,null
SWIFTJ0508.1p1727,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX007500/r20322048/enhanced/SPITZER_S5_20322048_01_merge.tbl
SWIFTJ0510.7p1629,null
SWIFTJ0512.1m1830,null
SWIFTJ0513.8p6627,null
SWIFTJ0515.3p1854,null
SWIFTJ0516.2m0009,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX009800/r18941440/enhanced/SPITZER_S5_18941440_01_merge.tbl
SWIFTJ0516.3p1928,null
SWIFTJ0516.4m1034,null
SWIFTJ0501.9m3239,null
SWIFTJ0519.5m4545,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX002900/r4673792/enhanced/SPITZER_S5_4673792_01_merge.tbl
SWIFTJ0521.0m2522,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX011100/r32513792/enhanced/SPITZER_S5_32513792_01_merge.tbl
SWIFTJ0519.5m3140,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX002600/r4674048/enhanced/SPITZER_S5_4674048_01_merge.tbl
SWIFTJ0524.1m1210,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX010700/r26497536/enhanced/SPITZER_S5_26497536_01_merge.tbl
SWIFTJ0525.1m2339,null
SWIFTJ0525.3m4600,null
SWIFTJ0526.2m2118,null
SWIFTJ0528.1m3933,null
SWIFTJ0530.8p1333,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX010700/r27430912/enhanced/SPITZER_S5_27430912_01_merge.tbl
SWIFTJ0532.9p1343,null
SWIFTJ0533.9m1318,null
SWIFTJ0535.4p4013,null
SWIFTJ0539.9m2839,null
SWIFTJ0543.9m2749,null
SWIFTJ0544.4m4328,null
SWIFTJ0544.4p5909,null
SWIFTJ0547.3p5042,null
SWIFTJ0548.4m4748,null
SWIFTJ0550.7m3212A,null
SWIFTJ0552.2m0727,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX002900/r4851456/enhanced/SPITZER_S5_4851456_01_merge.tbl
SWIFTJ0552.5p5929,null
SWIFTJ0554.8p4625,null
SWIFTJ0555.5p3946,null
SWIFTJ0557.9m3822,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX009800/r18943232/enhanced/SPITZER_S5_18943232_01_merge.tbl
SWIFTJ0559.8m5028,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX002900/r4676608/enhanced/SPITZER_S5_4676608_01_merge.tbl
SWIFTJ0600.7p0008,null
SWIFTJ0602.2p2829,null
SWIFTJ0602.5p6518,null
SWIFTJ0606.0m2755,null
SWIFTJ0601.9m8636,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX007500/r18947328/enhanced/SPITZER_S5_18947328_01_merge.tbl
SWIFTJ0609.5m6245A,null
SWIFTJ0609.5m6245B,null
SWIFTJ0612.2m4645,null
SWIFTJ0615.8p7101,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX002800/r3753472/enhanced/SPITZER_S5_3753472_01_merge.tbl
SWIFTJ0623.3m6438,null
SWIFTJ0623.8p6445,null
SWIFTJ0623.9m6058,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX010400/r26484224/enhanced/SPITZER_S5_26484224_01_merge.tbl
SWIFTJ0623.8m3215,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX010700/r26495232/enhanced/SPITZER_S5_26495232_01_merge.tbl
SWIFTJ0626.6p0729,null
SWIFTJ0626.6m3702,null
SWIFTJ0630.7p6342,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX009900/r18853376/enhanced/SPITZER_S5_18853376_01_merge.tbl
SWIFTJ0632.8p6343,null
SWIFTJ0634.7m7445,null
SWIFTJ0635.8m7514,null
SWIFTJ0640.4m2554,null
SWIFTJ0640.0m4737,null
SWIFTJ0640.1m4328,null
SWIFTJ0641.3p3257,null
SWIFTJ0645.9p5303,null
SWIFTJ0651.9p7426,null
SWIFTJ0654.6p0700,null
SWIFTJ0655.8p3957,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX010700/r26493696/enhanced/SPITZER_S5_26493696_01_merge.tbl
SWIFTJ0656.4m4921,null
SWIFTJ0659.3p2406,null
SWIFTJ0701.3m3235,null
SWIFTJ0707.1p6433,null
SWIFTJ0709.0m4642,null
SWIFTJ0709.3m1527,null
SWIFTJ0709.4m3559,null
SWIFTJ0710.3p5908,null
SWIFTJ0714.2p3518,null
SWIFTJ0714.3p4541,null
SWIFTJ0714.7m2521,null
SWIFTJ0718.1p4403,null
SWIFTJ0723.8m0804,null
SWIFTJ0725.7m0055,null
SWIFTJ0725.8p3000,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX008100/r19165184/enhanced/SPITZER_S5_19165184_01_merge.tbl
SWIFTJ0726.6m3552,null
SWIFTJ0726.5p3659,null
SWIFTJ0727.4m2408,null
SWIFTJ0733.2p4558,null
SWIFTJ0733.9p5156,null
SWIFTJ0736.9p5846,null
SWIFTJ0739.7m3142,null
SWIFTJ0741.4m5447,null
SWIFTJ0742.3p8024,null
SWIFTJ0742.5p4948,null
SWIFTJ0743.0p6513,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX010800/r25407232/enhanced/SPITZER_S5_25407232_01_merge.tbl
SWIFTJ0743.3m2546,null
SWIFTJ0744.0p2914,null
SWIFTJ0746.3p2548,null
SWIFTJ0747.5p6057,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX010700/r26498304/enhanced/SPITZER_S5_26498304_01_merge.tbl
SWIFTJ0747.6m7326,null
SWIFTJ0752.2p1937,null
SWIFTJ0753.1p4559,null
SWIFTJ0755.4p8402,null
SWIFTJ0756.3m4137,null
SWIFTJ0759.8m3844,null
SWIFTJ0800.5p2327,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX010700/r26496000/enhanced/SPITZER_S5_26496000_01_merge.tbl
SWIFTJ0800.1p2638,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX008100/r18971136/enhanced/SPITZER_S5_18971136_01_merge.tbl
SWIFTJ0801.9m4946,null
SWIFTJ0803.4p0842,null
SWIFTJ0804.2p0507,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX010800/r25408256/enhanced/SPITZER_S5_25408256_01_merge.tbl
SWIFTJ0804.6p1045,null
SWIFTJ0805.1m0110,null
SWIFTJ0805.2p6145,null
SWIFTJ0807.9p3859,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX004800/r10869248/enhanced/SPITZER_S5_10869248_01_merge.tbl
SWIFTJ0810.9p7602,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX002800/r9074944/enhanced/SPITZER_S5_9074944_01_merge.tbl
SWIFTJ0812.3m4004,null
SWIFTJ0814.3p0423,null
SWIFTJ0817.8p0251,null
SWIFTJ0818.1p0120,null
SWIFTJ0819.2m2259,null
SWIFTJ0823.4m0457,null
SWIFTJ0830.1p4154,null
SWIFTJ0830.4m6723,null
SWIFTJ0832.5p3703,null
SWIFTJ0838.4m3557,null
SWIFTJ0839.6m1213,null
SWIFTJ0840.2p2947,null
SWIFTJ0841.4p7052,null
SWIFTJ0842.0p0759,null
SWIFTJ0843.5p3551,null
SWIFTJ0845.0m3531,null
SWIFTJ0845.3p1420,null
SWIFTJ0854.3m0827,null
SWIFTJ0855.6p6425,null
SWIFTJ0855.7m2856,null
SWIFTJ0856.0p7812,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX010000/r22079488/enhanced/SPITZER_S5_22079488_01_merge.tbl
SWIFTJ0859.5p4457,null
SWIFTJ0902.0p6007,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX008100/r18944000/enhanced/SPITZER_S5_18944000_01_merge.tbl
SWIFTJ0902.7m6816,null
SWIFTJ0902.7m4814,null
SWIFTJ0902.8m7414,null
SWIFTJ0904.3p5538,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX010400/r26495744/enhanced/SPITZER_S5_26495744_01_merge.tbl
SWIFTJ0909.0p0358,null
SWIFTJ0911.2p4533,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX010400/r26496256/enhanced/SPITZER_S5_26496256_01_merge.tbl
SWIFTJ0917.2m6221,null
SWIFTJ0917.2m6457,null
SWIFTJ0918.5p1618,null
SWIFTJ0919.2p5528,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX006700/r15082496/enhanced/SPITZER_S5_15082496_01_merge.tbl
SWIFTJ0920.1p3712,null
SWIFTJ0920.8m0805,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX008200/r18945024/enhanced/SPITZER_S5_18945024_01_merge.tbl
SWIFTJ0923.6m2136,null
SWIFTJ0923.7p2255,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX010800/r26491392/enhanced/SPITZER_S5_26491392_01_merge.tbl
SWIFTJ0924.2m3141,null
SWIFTJ0925.2m8423,null
SWIFTJ0925.0p5218,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX006700/r14189824/enhanced/SPITZER_S5_14189824_01_merge.tbl
SWIFTJ0926.1p6931,null
SWIFTJ0926.2p1244,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX006700/r14203392/enhanced/SPITZER_S5_14203392_01_merge.tbl
SWIFTJ0927.3p2301,null
SWIFTJ0929.7p6232,null
SWIFTJ0934.7m2156,null
SWIFTJ0935.5p2616,null
SWIFTJ0935.9p6120,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX002900/r4973056/enhanced/SPITZER_S5_4973056_01_merge.tbl
SWIFTJ0936.2m6553,null
SWIFTJ0942.2p2344,null
SWIFTJ0945.6m1420,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX006000/r4934144/enhanced/SPITZER_S5_4934144_01_merge.tbl
SWIFTJ0947.6m3057,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX011600/r26484992/enhanced/SPITZER_S5_26484992_01_merge.tbl
SWIFTJ0947.7p0726,null
SWIFTJ0950.5p7318,null
SWIFTJ0951.9m0649,null
SWIFTJ0952.3m6234,null
SWIFTJ0955.5p6907,null
SWIFTJ0959.5m2248,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX008200/r18509824/enhanced/SPITZER_S5_18509824_01_merge.tbl
SWIFTJ0959.9p1303,null
SWIFTJ0959.7m3112,null
SWIFTJ1001.8p2848,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX004800/r11305728/enhanced/SPITZER_S5_11305728_01_merge.tbl
SWIFTJ1001.7p5543,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX003000/r3755520/enhanced/SPITZER_S5_3755520_01_merge.tbl
SWIFTJ1003.4m3726,null
SWIFTJ1005.9m2305,null
SWIFTJ1007.4p6534,null
SWIFTJ1008.6m0955,null
SWIFTJ1009.3m4250,null
SWIFTJ1013.5m3601,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX011600/r26497792/enhanced/SPITZER_S5_26497792_01_merge.tbl
SWIFTJ1017.0m0404,null
SWIFTJ1020.5m0237A,null
